tb21_id,top10_task_ids,top10_sources,mean_overall
db-wal-recovery,task_000838_38901502|task_002461_c1a45b43|task_002015_30c1f280|task_008316_09995a25|task_007266_e52c7a7f|task_000397_d04a33da|task_006301_63d62c7b|task_004777_b2057787|task_002240_b361df6f|d0c-s4vage__pfp-112,TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|SWE-Rebench-Tasks-Clean,4.3
distribution-search,task_006780_f07da33b|task_003486_0eb03622|task_007169_83929304|task_000750_5938801b|task_000918_17d9e1bd|task_000530_58721129|task_001168_93422366|task_001293_5525a528|task_001070_8899fda7|task_002475_e0379918,TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K,4.0
dna-assembly,task_001544_7d95dda4|task_002599_c0a64d58|task_002586_51207d88|task_003839_04146172|task_002705_29508c7d|task_000317_6a7b03ce|tw_327279|task_005084_af94922a|task_005110_21a8e234|task_004338_6800b70e,TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TerminalWorld-Seeds-Clean|TMax-15K|TMax-15K|TMax-15K,3.8
dna-insert,task_001544_7d95dda4|task_002599_c0a64d58|task_000317_6a7b03ce|task_002705_29508c7d|task_003839_04146172|tw_327279|task_005084_af94922a|task_000078_704c9ecc|task_005110_21a8e234|task_006512_ac735565,TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TerminalWorld-Seeds-Clean|TMax-15K|TMax-15K|TMax-15K|TMax-15K,3.7
extract-elf,task_000148_13b866f9|task_000101_5b83d1ba|tw_101812|task_000005_ceefb305|task_000376_c445606a|tw_381835|tw_18948|task_000071_b7b35e9a|tw_12138|rts_task_e1f7416ab6e845547bffe641,TMax-15K|TMax-15K|TerminalWorld-Seeds-Clean|TMax-15K|TMax-15K|TerminalWorld-Seeds-Clean|TerminalWorld-Seeds-Clean|TMax-15K|TerminalWorld-Seeds-Clean|Recursive-Task-Synthesis,4.3
extract-moves-from-video,task_000038_b0af17b4|task_004605_6a1e7020|task_000249_ff55f46a|task_000028_ae6330dd|task_000159_edb7847d|task_000086_7f269221|task_000125_66da44d3|task_000090_b8963df3|rts_task_7eefa8c4246cf6df33bd2f2a|tw_345797,TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|Recursive-Task-Synthesis|TerminalWorld-Seeds-Clean,4.2
feal-differential-cryptanalysis,task_004544_3403e2f6|task_004532_51ae89be|task_002392_b43fd016|task_003324_1d8e1b65|task_003333_c06dc2fe|tw_152765|task_005934_901b2b73|tw_126628|task_000690_9d6ed460|task_001946_12623d4f,TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TerminalWorld-Seeds-Clean|TMax-15K|TerminalWorld-Seeds-Clean|TMax-15K|TMax-15K,4.3
feal-linear-cryptanalysis,task_001946_12623d4f|task_002392_b43fd016|tw_152765|task_005446_a50bc88d|task_005042_33654f1f|task_005717_65ce042f|task_000690_9d6ed460|task_008487_13cee364|task_006795_2e1938f5|borgbackup__borg-8872,TMax-15K|TMax-15K|TerminalWorld-Seeds-Clean|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|SWE-Rebench-Tasks-Clean,4.3
filter-js-from-html,task_004544_3403e2f6|task_005319_0d19e265|mozilla__bleach.73871d76.pr_694|mozilla__bleach.73871d76.lm_rewrite__elrad8s4|task_007206_2ea22c7f|mozilla__bleach.73871d76.lm_rewrite__6c10rrw7|task_003406_2bceda61|pallets__markupsafe.620c06c9.func_basic__09grfhrm|task_001552_87d83871|task_003328_31c8a848,TMax-15K|TMax-15K|SWE-Smith-Seeds-Clean|SWE-Smith-Seeds-Clean|TMax-15K|SWE-Smith-Seeds-Clean|TMax-15K|SWE-Smith-Seeds-Clean|TMax-15K|TMax-15K,4.3
financial-document-processor,task_003095_da0071dc|task_001480_4c46ce75|task_003391_f8b99429|jsvine__pdfplumber.02ff4313.func_pm_ctrl_invert_if__tv5b85l9|task_000226_06e3f1db|task_003477_1cf03465|jsvine__pdfplumber.02ff4313.func_pm_ctrl_shuffle__umw5eacx|task_002266_d750b211|tw_288787|jazzband__tablib-456,TMax-15K|TMax-15K|TMax-15K|SWE-Smith-Seeds-Clean|TMax-15K|TMax-15K|SWE-Smith-Seeds-Clean|TMax-15K|TerminalWorld-Seeds-Clean|SWE-Rebench-Tasks-Clean,4.2
fix-code-vulnerability,task_009880_c77d5d17|bottlepy__bottle.a8dfef30.func_pm_remove_cond__0zlkz504|task_000862_b2327d41|mahmoud__glom.fb3c4e76.pr_262|task_003657_4ca05b86|benoitc__gunicorn.bacbf8aa.pr_2927|task_000603_8958d7f1|arrow-py__arrow.1d70d009.func_pm_ctrl_shuffle__vaslaiy9|task_005104_c7706ff3|pylons__waitress-124,TMax-15K|SWE-Smith-Seeds-Clean|TMax-15K|SWE-Smith-Seeds-Clean|TMax-15K|SWE-Smith-Seeds-Clean|TMax-15K|SWE-Smith-Seeds-Clean|TMax-15K|SWE-Rebench-Tasks-Clean,4.3
fix-git,rts_task_409f0bfc2d21112b81ef04fc|tw_241831|tw_590773|rts_task_8535af318208ec7e4cbdd873|tw_590222|rts_task_aff716d5d0206c0c449c0868|tw_230022|task_000387_5cbd2f2c|virtuslab__git-machete-330|rts_task_a0fe3247d3252d5efed8f220,Recursive-Task-Synthesis|TerminalWorld-Seeds-Clean|TerminalWorld-Seeds-Clean|Recursive-Task-Synthesis|TerminalWorld-Seeds-Clean|Recursive-Task-Synthesis|TerminalWorld-Seeds-Clean|TMax-15K|SWE-Rebench-Tasks-Clean|Recursive-Task-Synthesis,4.1
fix-ocaml-gc,task_002274_41ca317a|tw_245032|task_000339_224d0caa|task_000583_85cb2773|task_000489_92ef5b2f|task_000405_db54ffe9|task_000305_847de7e5|tw_7829|task_000221_0d2825d8|eventlet__eventlet-866,TMax-15K|TerminalWorld-Seeds-Clean|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TerminalWorld-Seeds-Clean|TMax-15K|SWE-Rebench-Tasks-Clean,4.1
gcode-to-text,task_004389_65e62efa|task_003395_f5dea7e2|task_000206_34d0712c|task_001718_513bde5d|task_001888_1bb7782a|tw_4289|laspy__laspy-327|jsvine__pdfplumber.02ff4313.func_pm_ctrl_invert_if__tv5b85l9|task_003934_ff2aa56d|rts_task_f08f705c2d22a4b7a9e6e8fd,TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TerminalWorld-Seeds-Clean|SWE-Rebench-Tasks-Clean|SWE-Smith-Seeds-Clean|TMax-15K|Recursive-Task-Synthesis,3.7
git-leak-recovery,tw_6480|task_008668_aad66165|rts_task_05b12b8f06acd0e46d3f0039|task_003732_d381586c|tw_329715|rts_task_d35d647825db9db40f37a95c|task_002382_b76aee61|rts_task_c005db1813b454fd2b579297|task_001466_99e645e3|task_000705_dd1c4aef,TerminalWorld-Seeds-Clean|TMax-15K|Recursive-Task-Synthesis|TMax-15K|TerminalWorld-Seeds-Clean|Recursive-Task-Synthesis|TMax-15K|Recursive-Task-Synthesis|TMax-15K|TMax-15K,4.5
git-multibranch,task_008507_de9e4b80|task_003669_be3ad2e1|task_008540_a95835ab|task_009134_30f90583|task_003575_8f9fa187|task_008021_fbbca54a|task_005719_210d44da|task_008370_d7c9163e|rts_task_ba953cb11fa97ee52fe7ef3c|tw_11181,TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|Recursive-Task-Synthesis|TerminalWorld-Seeds-Clean,4.3
gpt2-codegolf,task_000650_2f478e87|task_000042_6e4922c3|task_000794_1b7f0880|task_000816_72e21ee9|task_000295_cd672edd|task_000513_d8761e46|d0c-s4vage__pfp-112|task_000333_7a82aa70|task_000815_ccae7035|task_000624_6605751b,TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|SWE-Rebench-Tasks-Clean|TMax-15K|TMax-15K|TMax-15K,4.0
headless-terminal,task_002893_610b163f|pexpect__ptyprocess.1067dbda.func_pm_remove_loop__exlxfztz|tw_460725|pexpect__ptyprocess.1067dbda.func_pm_remove_assign__ivbnyzsb|task_005019_716557a7|task_004882_c8e52fc8|task_001395_861d32d6|rts_task_6ba244b698500a5585a1f154|task_000963_f95a4d5e|amoffat__sh-603,TMax-15K|SWE-Smith-Seeds-Clean|TerminalWorld-Seeds-Clean|SWE-Smith-Seeds-Clean|TMax-15K|TMax-15K|TMax-15K|Recursive-Task-Synthesis|TMax-15K|SWE-Rebench-Tasks-Clean,4.4
hf-model-inference,task_000680_ff6ac094|task_003986_4e4c690f|task_000318_4bf545ba|task_008873_24721464|task_000128_5892b832|task_003205_4267f918|rts_task_0d4c15474074a305ff2be8f2|bentoml__bentoml-5084|marshmallow-code__webargs.dbde72fe.pr_974|keras-team__keras-20079,TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|Recursive-Task-Synthesis|SWE-Rebench-Tasks-Clean|SWE-Smith-Seeds-Clean|SWE-Rebench-Tasks-Clean,4.2
install-windows-3.11,task_003464_52c8af89|task_003951_3539778b|task_003133_85965df1|task_003288_e131a9f5|task_003890_44be0a93|task_003209_8bd1fcc5|tw_132013|task_005975_f72b6904|tw_436604|task_001459_aa5314fb,TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TerminalWorld-Seeds-Clean|TMax-15K|TerminalWorld-Seeds-Clean|TMax-15K,4.4
kv-store-grpc,task_000585_2fd259d3|task_002235_30d3ca0f|task_000717_55759ff7|task_002157_d18d63f3|task_002790_b5b89843|task_001405_cce4db51|task_002811_62002456|task_002953_da753887|rts_task_ad91b8d961a8d683e16076ad|task_002251_e89ba374,TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|Recursive-Task-Synthesis|TMax-15K,4.5
large-scale-text-editing,task_000005_162ed362|task_000104_cc500ca7|task_000044_5ecfe251|tw_147333|task_000040_6e138997|task_000167_a3315aaa|rts_task_e310969f514289c50fccce04|task_000140_a41de773|task_000972_32925c73|pycqa__docformatter-143,TMax-15K|TMax-15K|TMax-15K|TerminalWorld-Seeds-Clean|TMax-15K|TMax-15K|Recursive-Task-Synthesis|TMax-15K|TMax-15K|SWE-Rebench-Tasks-Clean,4.0
largest-eigenval,task_004857_2c3d045e|task_004244_018a965b|task_000042_6e4922c3|task_003789_221005da|task_008399_38ddeb46|task_004522_01ba1112|task_004322_dc7e237c|task_005412_1a7d91ac|mpmath__mpmath-713|task_003207_4cab79ae,TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|SWE-Rebench-Tasks-Clean|TMax-15K,3.9
llm-inference-batching-scheduler,task_001798_23078e06|task_000331_d694b191|task_001815_670738ce|task_005176_040cf82b|task_000726_e9bf29eb|task_001942_4bdd8442|task_000607_a15537ed|task_003232_8eda3668|automl__smac3-1069|task_001330_31f79b9a,TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|SWE-Rebench-Tasks-Clean|TMax-15K,3.7
log-summary-date-ranges,task_000722_0ff34afb|elastic__curator-603|task_000927_43407097|task_000766_d807ec60|task_000788_164b1ca2|elastic__curator-1175|rts_task_86fc9ae7ab9a99c8d46262aa|tw_314564|arrow-py__arrow.1d70d009.lm_rewrite__oj8wtjgv|task_001965_7830fc0b,TMax-15K|SWE-Rebench-Tasks-Clean|TMax-15K|TMax-15K|TMax-15K|SWE-Rebench-Tasks-Clean|Recursive-Task-Synthesis|TerminalWorld-Seeds-Clean|SWE-Smith-Seeds-Clean|TMax-15K,4.0
mailman,tw_1060|task_000544_bb764ab4|task_004180_1658d3d8|tw_321921|task_004496_9337bdc3|task_000482_d54c11a6|tw_14495|rts_task_478a3e0a7c6967e4c91eba91|tw_12554|scrapy__scrapy.35212ec5.pr_5406,TerminalWorld-Seeds-Clean|TMax-15K|TMax-15K|TerminalWorld-Seeds-Clean|TMax-15K|TMax-15K|TerminalWorld-Seeds-Clean|Recursive-Task-Synthesis|TerminalWorld-Seeds-Clean|SWE-Smith-Seeds-Clean,4.0
make-doom-for-mips,task_003109_dc7395ac|tw_334878|task_004105_5eccba35|tw_6033|task_001621_5acb66a7|conan-io__conan.86f29e13.func_pm_remove_assign__vt2zl5s6|tw_135422|rts_task_24702e8563eef351a1c3cedd|task_001149_2439a852|tw_713382,TMax-15K|TerminalWorld-Seeds-Clean|TMax-15K|TerminalWorld-Seeds-Clean|TMax-15K|SWE-Smith-Seeds-Clean|TerminalWorld-Seeds-Clean|Recursive-Task-Synthesis|TMax-15K|TerminalWorld-Seeds-Clean,4.2
make-mips-interpreter,task_007807_8998d4c1|task_000330_15b96164|task_000246_a1b7a5cc|task_001481_3bacc41d|task_001395_746fbd2e|task_000258_60a61045|task_000386_43121cfd|tw_134335|task_004729_e3cd8799|d0c-s4vage__pfp-112,TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TerminalWorld-Seeds-Clean|TMax-15K|SWE-Rebench-Tasks-Clean,4.2
mcmc-sampling-stan,task_008944_ba409078|task_000371_d0ff3ecb|task_000496_927a035b|pymc-devs__pymc-7637|task_009085_092b7aa8|pyro-ppl__numpyro-1914|task_002777_9a954190|task_001025_b4f73035|pyro-ppl__numpyro-1918|task_001820_0ad61bdb,TMax-15K|TMax-15K|TMax-15K|SWE-Rebench-Tasks-Clean|TMax-15K|SWE-Rebench-Tasks-Clean|TMax-15K|TMax-15K|SWE-Rebench-Tasks-Clean|TMax-15K,4.2
merge-diff-arc-agi-task,task_003045_a0576d1c|tw_123496|task_004452_0a1fc499|rts_task_0e80e89c4dcb4386ccb28bb9|tw_42586|jelmer__dulwich-1160|task_000121_a56b5844|task_001862_8c16c6ce|jelmer__dulwich-1073|task_000005_162ed362,TMax-15K|TerminalWorld-Seeds-Clean|TMax-15K|Recursive-Task-Synthesis|TerminalWorld-Seeds-Clean|SWE-Rebench-Tasks-Clean|TMax-15K|TMax-15K|SWE-Rebench-Tasks-Clean|TMax-15K,3.6
model-extraction-relu-logits,task_001030_45a9959c|task_000650_2f478e87|task_000082_fd111b7f|task_004626_3fabad28|tw_125882|task_004647_5bcf5b9d|pyg-team__pytorch_geometric-8143|task_001285_c68f2d42|tw_229615|task_003103_c5ee5fa5,TMax-15K|TMax-15K|TMax-15K|TMax-15K|TerminalWorld-Seeds-Clean|TMax-15K|SWE-Rebench-Tasks-Clean|TMax-15K|TerminalWorld-Seeds-Clean|TMax-15K,3.6
modernize-scientific-stack,task_001928_166ebd41|task_001372_52718284|alteryx__woodwork-1533|task_002571_56be1524|task_000953_1d76c7c3|rts_task_96a22e8b553ac94c19c977e9|pandas-dev__pandas.95280573.pr_48050|task_001192_a47265df|pycqa__bandit-999|tw_100135,TMax-15K|TMax-15K|SWE-Rebench-Tasks-Clean|TMax-15K|TMax-15K|Recursive-Task-Synthesis|SWE-Smith-Seeds-Clean|TMax-15K|SWE-Rebench-Tasks-Clean|TerminalWorld-Seeds-Clean,3.8
mteb-leaderboard,task_004288_74a75666|task_008938_9ee68be3|task_003685_7502ce0e|task_000660_1a27985b|task_003386_05a05def|task_002195_f8b28fed|task_004300_d95264b2|tw_276310|rts_task_aa3db4f023400748db590c7d|alteryx__evalml-1221,TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TerminalWorld-Seeds-Clean|Recursive-Task-Synthesis|SWE-Rebench-Tasks-Clean,3.7
mteb-retrieve,task_003184_6024c47e|task_009339_2e902d57|task_007919_9f671c59|task_003078_2ecd85ff|task_001841_ca029bee|task_003704_3cde6594|tw_323887|rts_task_abd2d2db375ec35a34770513|task_003205_4267f918|rts_task_fe9b38379292388dd5e39009,TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TerminalWorld-Seeds-Clean|Recursive-Task-Synthesis|TMax-15K|Recursive-Task-Synthesis,4.2
multi-source-data-merger,task_009065_79ba1fe5|task_002650_61b2beb7|task_005278_e150eff8|task_002333_9fc62ff2|rts_task_a3615b3d3cbf853cca0fb73c|task_002307_b945c419|facebookresearch__fvcore.a491d5b9.lm_rewrite__ipg0fu5k|task_000326_43906003|task_000270_92b7693a|tw_647708,TMax-15K|TMax-15K|TMax-15K|TMax-15K|Recursive-Task-Synthesis|TMax-15K|SWE-Smith-Seeds-Clean|TMax-15K|TMax-15K|TerminalWorld-Seeds-Clean,4.2
nginx-request-logging,task_005935_cd483540|task_007982_fd0af271|task_004858_d0a2763f|task_003556_76a04b16|task_005436_d605aece|tw_529969|task_001011_daf5764a|task_007670_4ef18312|tw_321921|rts_task_d3290515a5700373e22d7dad,TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TerminalWorld-Seeds-Clean|TMax-15K|TMax-15K|TerminalWorld-Seeds-Clean|Recursive-Task-Synthesis,4.2
openssl-selfsigned-cert,rts_task_7c2c9533c50d05a84a2b2980|task_000475_b509da2d|task_000575_10c82d13|task_002770_06806953|tw_358114|rts_task_f11853d9765a4a3c191f8018|rts_task_75542adcd1bb4680a7cdedc0|task_001163_eb9fe538|rts_task_7be15613a8f6e653a6c64eb1|task_000784_672a48fb,Recursive-Task-Synthesis|TMax-15K|TMax-15K|TMax-15K|TerminalWorld-Seeds-Clean|Recursive-Task-Synthesis|Recursive-Task-Synthesis|TMax-15K|Recursive-Task-Synthesis|TMax-15K,4.5
overfull-hbox,rts_task_55ca4a0dc153fe57ea58ae65|kozea__weasyprint-2416|tw_287590|rts_task_891c28df009cf61e04497265|task_000764_a5d0f875|rts_task_8c3c874eeb0e8e539b6a1d81|adrienverge__yamllint.8513d9b9.func_basic__qnpsltuo|task_000607_a15537ed|rts_task_43cc74334db986776223ef6b|pycqa__docformatter-143,Recursive-Task-Synthesis|SWE-Rebench-Tasks-Clean|TerminalWorld-Seeds-Clean|Recursive-Task-Synthesis|TMax-15K|Recursive-Task-Synthesis|SWE-Smith-Seeds-Clean|TMax-15K|Recursive-Task-Synthesis|SWE-Rebench-Tasks-Clean,3.6
