tb21_id,rank,task_id,source,skill,domain,task_form,overall,reason,preview
bn-fit-modify,10,task_003038_2570926b,TMax-15K,4,4,4,4,Fit a generator to a reference dataset and emit synthetic data whose density is then verified - the resample-and-check ending of this task.,"You are a machine learning engineer preparing synthetic training data. We need to generate a synthetic dataset that mimics the distribution of a reference dataset, and then verify its density distribution. You are provided with a reference "
break-filter-js-from-html,1,security_20260509_202829_001,CalibForge,5,5,5,5,"Twin task: defeat /app/sanitizer.py (strips script, handlers, JS URLs), make payload.html still alert() after sanitization, verified by test_outputs.py; even the HTML-comment hint matches.","A web application uses `/app/sanitizer.py` to sanitize user-provided HTML before rendering it in pages. The sanitizer attempts to remove dangerous elements like `<script>`, event handlers, and JavaScript URLs. Usage: `python /app/sanitizer."
break-filter-js-from-html,2,task_07041,Terminal-Lego-15k,5,5,4,5,Decide which entity-encoded HTML contexts are still XSS-exploitable and write proof-of-concept payloads - the precise context reasoning that produces a filter-surviving alert.,"# Task: Analyzing XSS Vulnerabilities Beyond HTML Encoding ## Background HTML encoding (converting characters like `<`, `>`, `&`, `""`, `'` to their HTML entity equivalents) is a common defense against Cross-Site Scripting (XSS) attacks. How"
break-filter-js-from-html,3,security_20260602_105139_001,CalibForge,4,4,5,4,"A filter.py that must be bypassed with a crafted input the filter passes yet that reaches the forbidden target; identical structure, SSRF instead of XSS.","There's a URL safety filter at /app/filter.py that's used to prevent SSRF (Server-Side Request Forgery) attacks. The filter takes a URL as a command-line argument and outputs either ""safe"" or ""blocked"". Usage: python /app/filter.py <url> A "
break-filter-js-from-html,4,task_08835,Terminal-Lego-15k,4,5,3,4,Implement the script-tag remover that filter.py is - to break such a filter you must first understand exactly what it strips and where it stops.,# Task: Remove Script Tags from HTML Using BeautifulSoup ## Description You need to write a Python script that removes all `<script>` tags and their contents from an HTML file using the BeautifulSoup library. This is a common task when clea
break-filter-js-from-html,5,task_000577_f42f11cc,TMax-15K,4,5,4,4,Craft a JavaScript payload that executes despite a CSP and a JS-monitoring WAF; synthesising a browser-executable payload that beats a content filter.,You are a red-team operator tasked with crafting an evasion payload that bypasses a target's egress and content restrictions. You have gathered several configuration files from the target environment. You need to analyze these files to dete
break-filter-js-from-html,6,task_13811,Terminal-Lego-15k,4,4,3,4,"Show why regex cannot parse HTML reliably - the exact theoretical reason a regex-based JS filter is bypassable, and the lever the payload pulls.","# Task: Demonstrate Why Regex Fails to Parse XML/HTML ## Objective Write a program (in Python) that demonstrates the limitations of using regular expressions to parse XML/HTML by implementing both a regex-based parser and a proper parser, t"
break-filter-js-from-html,7,task_000510_5b2fc38e,TMax-15K,4,4,4,4,Discover the payloads that slip past a denylist WAF (case variation) then patch it; systematically finding a string-filter's blind spots is what breaks filter.py.,"You are a security automation engineer. We have a simple bash-based validation utility that acts as a mock Web Application Firewall (WAF) filter, checking input payloads against a denylist configuration file. We suspect the filter is vulner"
break-filter-js-from-html,8,security_20260514_012509_001,CalibForge,4,3,5,4,Craft a malicious tar that a 'secure' extractor accepts yet that escapes the destination; build an input that survives a validator and still does the forbidden thing.,"There's a `/app/safe_extract.py` script that implements a ""secure"" tar extraction function. It's designed to prevent path traversal attacks by validating that all extracted files remain within the destination directory. Usage: `python /app/"
break-filter-js-from-html,9,security_20260614_141608_001,CalibForge,4,4,5,4,Bypass a filter.py that blocks obfuscated internal-IP URLs by finding a representation it fails to canonicalise - the same normalisation gap an XSS filter has.,"There's a `/app/filter.py` script that validates URLs before they're fetched by an internal service. It blocks URLs that point to `localhost`, `127.0.0.0/8`, or use obfuscated IP representations (hex, decimal, octal) to prevent SSRF attacks"
break-filter-js-from-html,10,Knio__dominate.9082227e.combine_file__n1qm27ke,SWE-Smith-Seeds-Clean,4,5,2,3,"escape() applies replacements in the wrong order, mis-escaping HTML entities; a broken HTML escaper is exactly the defect that lets script through a filter.",# Multiple issues with HTML escaping and file inclusion in dominate I've found several issues with the latest version of dominate that are causing unexpected behavior: ## Issue 1: HTML escaping is broken The `escape()` function in `util.py`
build-cython-ext,1,debugging_20260606_172554_001,CalibForge,5,5,5,5,"Build fitsio from source against NumPy 2.3.0, fixing the exact incompatible-pointer-type C-API errors from NumPy 2.0 and GCC 14, then pass its tests - the same task at the same numpy version.","I need to use the `fitsio` Python package (a library for reading and writing FITS files, commonly used in astronomy) with NumPy 2.3.0, but the pre-built wheels don't work with my NumPy version. I have to build it from source. The package so"
build-cython-ext,2,software-engineering_20260513_204536_002,CalibForge,5,5,5,5,Cython extensions that build on NumPy 1.x but fail on NumPy 2.0; fix the build so pip install . works - the precise NumPy-2 Cython break pyknotid has.,A numerical computing package in `/app/fastintegr` has Cython extensions that accelerate numerical integration routines. The package builds fine with NumPy 1.x but fails to compile on this system which has NumPy 2.0 and Python 3.12. Fix the
build-cython-ext,3,task_000485_af988d1d,TMax-15K,5,5,4,5,setup.py is missing the numpy include directories required to build the C-extension; fix it so compilation succeeds - the numpy-plus-build_ext failure directly.,"You are acting as a data scientist analyzing molecular network graphs. We have a pipeline that fits a matrix factorization model to graph adjacency matrices to extract latent interaction features, but the current pipeline is broken. There a"
build-cython-ext,4,debugging_20260610_111012_001,CalibForge,5,5,5,5,Compile the Cython extensions of faststats and make pytest pass; build-the-.pyx-then-tests-pass matches this task's exact success condition.,Get the Cython extensions in `/app/faststats` compiled and all tests passing. The package source is at `/app/faststats/`: - `setup.py` — build config - `faststats/__init__.py` — package init - `faststats/_stats.pyx` — Cython implementation 
build-cython-ext,5,debugging_20260509_065529_001,CalibForge,4,5,5,4,"Build and install sigproc from source, whose Cython extensions interface with C; clone-source, compile .pyx, install into the environment.",I'm trying to build and install the `sigproc` signal processing library from source in `/app/sigproc`. It has Cython extensions that interface with C code for complex number operations and window functions. When I run `python setup.py build
build-cython-ext,6,task_000084_2e6745ad,TMax-15K,4,5,4,4,"Fix and install a broken vendored Python C-extension/Cython package, then use it; the fix-the-source-build-then-import sequence of pyknotid.","You are an AI assistant helping a data science researcher build an automated system to organize and score the quality of various datasets using Bayesian inference. The researcher relies on a specialized, high-performance Bayesian inference "
build-cython-ext,7,debugging_20260613_152233_001,CalibForge,4,5,5,4,"Make arrproc's Cython build compile and install from source despite errors and messy code, reading the build errors - as this task instructs.","I have a Python package at `/app/arrproc/` that uses Cython for performance. It's supposed to compile and install from source, but I get build errors every time I try. The code is in a bit of a mess — I started updating it for newer NumPy a"
build-cython-ext,8,debugging_20260610_111702_001,CalibForge,4,4,5,4,Clone datrie at a branch and build the Cython extension wrapping libdatrie from source; the clone-at-a-tag-then-compile workflow of this task.,I need to install the `datrie` Python package from source for a project. It's a fast double-array trie implementation that wraps the `libdatrie` C library. Clone the repository and build it: ```bash git clone https://github.com/pytries/datr
build-cython-ext,9,task_000322_52e0a9fe,TMax-15K,4,5,4,4,Diagnose why a package won't build its C-extensions (a setup indentation defect) from the compiler error; read-the-error-and-fix-the-build.,"I need your help organizing a dataset of experimental sensor readings, fixing a broken inference library, and setting up an API to serve a Bayesian model. Here are the specific steps you need to complete: 1. **ETL & Correlation Analysis**: "
build-cython-ext,10,pypa__setuptools-4676,SWE-Rebench-Tasks-Clean,4,5,3,4,A setuptools issue centered on setup.py building a compiled Extension; fixing how setuptools compiles an Extension is the machinery pyknotid's build_ext runs on.,A git repository with the project this issue is about is checked out somewhere under / (commonly /<project-name>). Find it and work there. [BUG] Wheel ABI tag is wrong when building with debug build of Python 3.13 on Windows ### setuptools 
build-pmars,1,software-engineering_20260420_020307_001,CalibForge,5,5,5,5,"Build htop from Ubuntu source packages without libcap/libsensors, extract to /app, install to /usr/local/bin, verify the binary isn't linked to the excluded libs - the identical task with X11 replaced by libcap/libsensors.",Build htop from Ubuntu source packages without capabilities and sensors support. The resulting binary at `/usr/local/bin/htop` must not link against libcap or libsensors. Extract the source to `/app` and verify the build works with `htop --
build-pmars,2,software-engineering_20260415_123352_001,CalibForge,5,5,5,5,"Build cmatrix from source with autotools, install to /usr/local/bin, verify it runs and is correctly linked; compile-a-small-C-terminal-program then install-and-check-linkage, pMARS's exact shape.","Build cmatrix (https://github.com/abishekvashok/cmatrix), the classic ""The Matrix"" terminal screensaver, from source using the autotools build system. Clone the repository, run `autoreconf -fiv`, configure, and build the software. Install t"
build-pmars,3,software-engineering_20260414_091921_001,CalibForge,4,4,5,4,"Build btop from source with a specific optional feature toggled; a feature-flagged from-source build, the same configure-a-feature skill pMARS's no-X11 build needs.","Build btop (https://github.com/aristocratos/btop) from source with NVIDIA GPU monitoring support enabled. Clone the source to `/app/btop`, build with GPU support enabled, and install the binary to `/usr/local/bin/btop`. The build must: - En"
build-pmars,4,tw_694280,TerminalWorld-Seeds-Clean,4,4,5,4,"Build and install the GiNaC library from source system-wide with the shared-library cache refreshed; compile-from-source-then-install, matching pMARS's install-and-work step.","Install the GiNaC computer algebra library (version 1.8.7) from source on this system. The library should be fully built and installed so that it is available system-wide, with the shared library cache updated so programs can link against i"
build-pmars,5,machine-learning_20260604_194036_001,CalibForge,4,4,5,4,"Build Faiss from source CPU-only with AVX2 - a build deliberately constrained to omit one capability and include another, like configuring pMARS without X11.","Build Facebook AI Similarity Search (Faiss) version 1.7.4 from source. The build must be CPU-only with AVX2 optimizations, produce a shared library, and include working Python bindings. After the build, create /app/benchmark.py that evaluat"
build-pmars,6,task_00260,Terminal-Lego-15k,3,5,3,4,Fetch and extract the GNU Coreutils Debian source with apt-get source; the exact 'get the source from Debian packages and extract it' step pMARS specifies.,"# Task: Locate and Read Source Code of Shell Commands ## Background You want to understand how basic Linux shell commands are implemented by reading their source code. Commands like `ls`, `cat`, `cp`, and others are part of the GNU Coreutil"
build-pmars,7,debugging_20260610_112157_001,CalibForge,4,4,5,4,"Build the OGDI library from source through its ./configure invocation; drive a legacy configure-and-make C build to a working binary, as pMARS requires.","The OGDI library needs to be built from source. The repo is at `/app/ogdi` (commit `66e9095`). All build dependencies are already installed. Running `TOPDIR=/app/ogdi ./configure && TOPDIR=/app/ogdi make` fails with linker errors — ""undefin"
build-pmars,8,tw_417753,TerminalWorld-Seeds-Clean,4,4,5,4,"Build libwebsockets from source and install under the default prefix with the .so placed correctly; source-build plus install-to-prefix, pMARS's install pattern.",Install libwebsockets version 4.2.0 from source on this CentOS 7 system. The source archive `v4.2.0.tar.gz` is already available in the current directory. Build and install the library so that it is available system-wide. The installation s
build-pmars,9,task_11943,Terminal-Lego-15k,4,4,4,4,"Fix a missing pcre.h header that blocks compiling a PHP extension from source; resolve a missing-dependency C compile error, the recurring build-fix pMARS may need.","# Task: Fix Missing pcre.h Header File for PHP Extension Compilation ## Objective When compiling a PHP extension (such as Phalcon) from source, the build process fails with the following error: ``` /usr/include/php5/ext/pcre/php_pcre.h:29:1"
build-pmars,10,tw_129867,TerminalWorld-Seeds-Clean,4,4,5,4,Prepare the build environment and compile Singularity from source; set-up-dependencies-then-configure-and-compile a real system program from source.,Your task is to build the Singularity project from source in the current working directory. Prepare the build environment and compile the source code so that all necessary build artifacts are successfully generated. You do not need to insta
build-pov-ray,1,software-engineering_20260604_003113_002,CalibForge,5,5,5,5,"Download GNU Make 3.81 tarball, extract to a fixed path, fix a linker error in old C, install to /usr/local/bin. Same template.","Build GNU Make 3.81 from source. Download the source tarball, extract it to `/app/make-3.81`, then compile and install the `make` binary to `/usr/local/bin/make`. You'll encounter a linker error during compilation — you'll need to diagnose "
build-pov-ray,2,software-engineering_20260613_152233_002,CalibForge,5,5,5,5,"Pre-ANSI K&R C rejected by modern GCC; fix sources and Makefile, install the binary. Exactly POV-Ray 2.2's central difficulty.",Build and install the `kvstore` key-value store tool from the source code in `/app/src/`. The source is written in pre-ANSI (K&R) C and will not compile with modern GCC without modifications. Fix the source files and Makefile so that `kvsto
build-pov-ray,3,software-engineering_20260611_205750_002,CalibForge,5,5,4,5,"1992 C program must compile under strict modern flags without editing the Makefile; same era, same compiler diagnostics.",Build and install the `base64` utility from the source code in `/app/src/` to `/usr/local/bin/base64`. The source is a legacy C program from 1992 that implements base64 encoding/decoding. The Makefile uses strict modern C flags. Fix the sou
build-pov-ray,4,software-engineering_20260430_081156_002,CalibForge,5,5,4,5,"1998 C library repaired until GCC accepts it, then installed. Legacy-source repair with a pinned-value verifier.","Build and install the `imgconv` image format conversion library from `/app/imgconv-1.2.1`. This legacy C library was last maintained in 1998 and doesn't compile on modern systems. Fix the source code to build successfully with GCC 14, then "
build-pov-ray,5,software-engineering_20260604_144210_002,CalibForge,4,4,5,4,"Fetch NASM 2.07 source, build, install to /usr/local/bin, graded by running the binary on a supplied input file.",Build NASM (Netwide Assembler) version 2.07 from source and install it to `/usr/local/bin/nasm`. The source is available on GitHub. We will test your build by assembling `/app/test.asm` into a 64-bit ELF object file. Do not modify `/app/tes
build-pov-ray,6,software-engineering_20260617_051646_002,CalibForge,4,5,4,4,Old GNU package whose build dies partway; diagnose the compile failure and complete the install.,Build GNU indent 1.9.1 from the source in `/app/indent-1.9.1`. The source has already been downloaded and configured — you need to compile it and install the `indent` binary to `/usr/local/bin/indent`. Note: the build will fail initially du
build-pov-ray,7,software-engineering_20260603_181444_002,CalibForge,4,4,5,4,"Must find zip30.tar.gz on SourceForge unaided, then build and install zip 3.0 — trains the locate-the-archive half.","Build Info-ZIP `zip` 3.0 from source and install it to `/usr/local/bin/zip`. Download the source archive `zip30.tar.gz` from the official Info-ZIP project site on SourceForge (under ""Zip 3.x (latest)"" → ""3.0""), extract it, and compile. Afte"
build-pov-ray,8,software-engineering_20260606_172554_002,CalibForge,4,5,4,4,"C project with a build system broken on this host; repair it, compile, install, verified by running the tool.","The `/app/csv2json/` directory contains a C project. The build system is broken and fails to compile on this system. Fix the build, compile the tool, and install it to `/usr/local/bin/csv2json`. We will test your build by running it against"
build-pov-ray,9,software-engineering_20260510_062946_002,CalibForge,4,5,4,4,Netpbm from tarball with PNG/JPEG/TIFF delegates; configure-with-image-libraries build checked by producing images.,"Build Netpbm 10.86.44 from source and install it to `/usr/local`. The build must include full support for PNG, JPEG, and TIFF image formats. Download the source tarball from SourceForge, configure and build the package, then install so that"
build-pov-ray,10,task_002737_29eccf53,TMax-15K,4,4,5,4,"Download FFTW tarball, configure with a custom prefix, install, then compile a C program against it. Full build pipeline.","You are a performance engineer tasked with creating a highly optimized, parallelized simulation and signal processing pipeline. Your objective is to write a C program that simulates the 1D wave equation (a PDE) for multiple initial conditio"
caffe-cifar-10,1,machine-learning_20260601_053159_001,CalibForge,5,4,5,5,"CPU-only source build that fails to compile, fix it, install, train with fixed hyperparameters, clear 80% accuracy. Same two-stage task.",I need XGBoost built and a forest cover type classifier trained on this machine. The target is the Forest Covertype dataset — 54 cartographic features predicting 7 cover types. The XGBoost source is already at /app/xgboost (v1.7.6). It's a 
caffe-cifar-10,2,machine-learning_20260606_172606_001,CalibForge,5,4,5,5,Build XGBoost 1.7.0 CPU-only into /app/xgboost then train until a stated metric floor is cleared. Same build-then-train contract.,"Build XGBoost version 1.7.0 from source in /app/xgboost with CPU-only support, then train a gradient boosting classifier on the provided dataset in /app/data/train.csv. The trained model must achieve an ROC-AUC score above 0.85 on the test "
caffe-cifar-10,3,machine-learning_20260610_112157_001,CalibForge,5,4,5,5,Build a C++ sequence-labelling library from source and train a model on the supplied data; best-verified member of this family.,"Build the CRFsuite sequence labeling library from source and train a Conditional Random Field model for chunk labeling. The training and test data are in `/app/train.conll` and `/app/test.conll` (word, POS tag, and chunk label per line, sen"
caffe-cifar-10,4,machine-learning_20260605_015435_001,CalibForge,5,4,5,4,"fastText 0.9.2 will not compile here; repair the C++ build, then train a classifier with the binary you produced.",I need to build the fastText library (version 0.9.2) from source and train a text classifier on the AG News dataset. The build is failing with compilation errors on this system and I haven't been able to get it working. Here's what I need: 
caffe-cifar-10,5,machine-learning_20260604_144210_001,CalibForge,5,5,4,4,"Clone pjreddie/darknet, build with OpenCV support, fetch weights and run the CLI over images. Nearest thing to Caffe in the pool.",Get the original Darknet (YOLO) object detection framework running on this machine. Clone https://github.com/pjreddie/darknet.git into /app/darknet and build it with OpenCV support. Download the YOLOv3-tiny weights. Run object detection on 
caffe-cifar-10,6,machine-learning_20260603_181444_001,CalibForge,4,5,4,4,"Set up ncnn from source and classify images with SqueezeNet; C++ CNN framework built by hand, then driven for inference.",I need to classify the images in /app/test_images/ using ncnn's SqueezeNet model. Please set up Tencent's ncnn high-performance neural network inference framework from source in /app/ncnn and run image classification on each image. Save the
caffe-cifar-10,7,machine-learning_20260604_003113_001,CalibForge,4,4,5,4,"cmake CPU-only build of mlpack with no dependencies pre-installed, then a program compiled against it. Caffe's dependency problem.","Build mlpack 4.5.1 from source into /app/mlpack (CPU-only, cmake). The environment provides a C++ toolchain; mlpack's library dependencies are not pre-installed. Then create a CMake project at /app/kmeans_proj/ (CMakeLists.txt + cluster.cpp"
caffe-cifar-10,8,machine-learning_20260602_105139_001,CalibForge,4,4,5,4,Another CPU-only XGBoost source build followed by training a classifier; pinned-value tests on the trained output.,"Build XGBoost version 1.7.6 from source with CPU-only support, then use it to train a binary classifier on the provided dataset. The source must be cloned from https://github.com/dmlc/xgboost.git (tag v1.7.6) into /app/xgboost and compiled "
caffe-cifar-10,9,machine-learning_20260604_194036_001,CalibForge,4,4,4,4,"Faiss CPU-only with AVX2, shared library and bindings — practising exactly the build-variant flags Caffe's CPU_ONLY switch controls.","Build Facebook AI Similarity Search (Faiss) version 1.7.4 from source. The build must be CPU-only with AVX2 optimizations, produce a shared library, and include working Python bindings. After the build, create /app/benchmark.py that evaluat"
caffe-cifar-10,10,tw_18273,TerminalWorld-Seeds-Clean,4,4,4,4,"Split the data, run the LIBSVM trainer CLI to produce a model file and report validation accuracy. The train-and-measure half, strongly verified.","Train an SVM classifier using the LIBSVM library on the heart disease dataset located at `/libsvm/heart_scale`. Use the first 170 samples as training data and the remaining 100 samples as validation data, saving them to `/app/heart.training"
cancel-async-tasks,1,software-engineering_20260507_172207_003,CalibForge,5,5,5,5,"Same run_tasks signature in /app/run.py: semaphore bound, no lost permit on early cancel, finally blocks run under SIGINT. A near-clone.","Create a Python function `run_tasks(tasks: list[Callable[[], Coroutine[None, None, None]]], max_concurrent: int) -> None` in `/app/run.py` that executes async tasks with bounded concurrency. Each task is an async callable (returns a corouti"
cancel-async-tasks,2,software-engineering_20260419_112101_003,CalibForge,5,5,5,5,Bounded async runner that must survive SIGINT/SIGTERM; names the semaphore-leak and cancel-races-timeout failures explicitly.,Implement a Python async task execution framework in `/app/taskrunner.py` that manages concurrent tasks with graceful shutdown semantics. The module should provide a function with this signature: ```python async def run_with_limits( tasks: 
cancel-async-tasks,3,software-engineering_20260507_173144_003,CalibForge,5,5,5,5,Cancelled workers must release their resource and hand back in-flight items; cancellation-safe cleanup with a strong verifier.,Implement an async worker pool in `/app/worker_pool.py` that processes items from an `asyncio.Queue` with graceful shutdown and proper resource cleanup. The module should expose a class `WorkerPool` with this interface: ```python class Work
cancel-async-tasks,4,software-engineering_20260507_170334_003,CalibForge,5,5,4,4,"Bounded async worker pool with graceful shutdown behind an async context manager; same primitives, class-shaped interface.",Create a Python module called `/app/worker_pool.py` that implements an asynchronous worker pool for processing items with bounded concurrency and graceful shutdown. The module should provide an async context manager class called `WorkerPool
cancel-async-tasks,5,task_003554_91800ef0,TMax-15K,5,5,3,4,Background tasks are not cancelled or cleaned up when their connection closes; every test pins a concrete value.,"You are debugging a failing build for a Python-based asynchronous network service. The integration tests are failing because the service leaks internal background tasks when a client disconnects unexpectedly or requests a specific URL, even"
cancel-async-tasks,6,software-engineering_20260511_150433_003,CalibForge,4,5,4,4,Async job scheduler with max_concurrent and a shutdown deadline; adds dependencies to the same cancellation contract.,"Implement an async job scheduler in `/app/scheduler.py` with a function `run_jobs(jobs: list[tuple[int, Callable[[], Awaitable[None]], float, list[int]]], max_concurrent: int, shutdown_deadline: float = 5.0) -> None` where: - Each job is a "
cancel-async-tasks,7,software-engineering_20260603_181444_003,CalibForge,4,5,5,4,run_with_timeout over subprocesses at most max_concurrent at a time; bounded concurrency plus cancelling overrunning work.,"I need `/app/procpool.py` with an async function `run_with_timeout(commands, timeout, max_concurrent)`. `commands` is a list where each element is a command line like `[""echo"", ""hello""]`. Run them with at most `max_concurrent` at once. Each"
cancel-async-tasks,8,task_003764_3d6b8df9,TMax-15K,5,5,3,4,Async tasks leak under specific cancellation conditions; requires knowing exactly what a cancel does and does not tear down.,You are a DevOps engineer investigating a memory and task leak in our Python asynchronous microservices. We suspect that tasks are leaking under specific cancellation conditions. We have a proprietary log parsing library vendored at `/app/v
cancel-async-tasks,9,software-engineering_20260429_103257_003,CalibForge,4,4,5,4,"run_tasks at /app/run.py with max_workers and timeouts; identical interface contract, thread pool instead of the event loop.","Create a Python function called `run_tasks` in `/app/run.py` that can be imported as `from run import run_tasks`. The function signature should be: ```python def run_tasks( tasks: list[Callable[[], Any]], max_workers: int, task_timeout: flo"
cancel-async-tasks,10,task_000705_dd1c4aef,TMax-15K,5,5,3,4,Handle asyncio.CancelledError correctly so a cancelled client leaves no orphaned task running forever.,"You are a performance engineer called in to debug a severe resource leak in a Python asynchronous backend service. The service processes incoming network requests, but under heavy load with frequent client cancellations (disconnects), it le"
