tb21_id,top10_task_ids,top10_sources,mean_overall
mcmc-sampling-stan,data-science_20260604_002443_002|data-science_20260604_002443_007|data-science_20260610_111012_007|task_001914_fae6f727|data-science_20260606_172606_007|task_000371_d0ff3ecb|data-science_20260615_143301_002|data-science_20260613_152233_007|data-science_20260604_144210_007|task_11942,CalibForge|CalibForge|CalibForge|TMax-15K|CalibForge|TMax-15K|CalibForge|CalibForge|CalibForge|Terminal-Lego-15k,4.2
merge-diff-arc-agi-task,debugging_20260614_141608_003|software-engineering_20260604_193056_025|software-engineering_20260604_004411_014|task_003045_a0576d1c|task_002244_33013a20|software-engineering_20260417_112147_007|task_000005_162ed362|task_01942|file-operations_20260425_072438_002|task_004452_0a1fc499,CalibForge|CalibForge|CalibForge|TMax-15K|TMax-15K|CalibForge|TMax-15K|Terminal-Lego-15k|CalibForge|TMax-15K,4.2
model-extraction-relu-logits,mathematics_20260604_003814_004|mathematics_20260606_153537_004|mathematics_20260606_172622_004|mathematics_20260508_153434_004|mathematics_20260617_210354_004|mathematics_20260510_130518_004|mathematics_20260606_172554_004|task_000005_162ed362|task_000267_c8209c91|pennylaneai__pennylane-2057,CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|TMax-15K|TMax-15K|SWE-Rebench-Tasks-Clean,4.4
modernize-scientific-stack,software-engineering_20260418_190236_005|task_001372_52718284|task_000058_5b337278|software-engineering_20260425_072438_007|data-science_20260610_111012_006|task_004874_9305c3fd|task_001192_a47265df|software-engineering_20260510_054909_009|data-science_20260606_172606_006|task_01025,CalibForge|TMax-15K|TMax-15K|CalibForge|CalibForge|TMax-15K|TMax-15K|CalibForge|CalibForge|Terminal-Lego-15k,4.1
mteb-leaderboard,data-science_20260513_204848_003|data-science_20260606_153537_003|data-science_20260604_003113_003|data-science_20260615_143956_003|data-science_20260614_141608_003|task_008938_9ee68be3|data-science_20260613_152233_003|alteryx__evalml-1221|task_003685_7502ce0e|task_004300_d95264b2,CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|TMax-15K|CalibForge|SWE-Rebench-Tasks-Clean|TMax-15K|TMax-15K,4.2
mteb-retrieve,task_003184_6024c47e|data-science_20260607_104421_004|task_000776_94bc0097|task_003492_2c74596d|data-science_20260414_091921_004|task_009339_2e902d57|task_13485|tw_323887|data-science_20260604_004411_008|task_14941,TMax-15K|CalibForge|TMax-15K|TMax-15K|CalibForge|TMax-15K|Terminal-Lego-15k|TerminalWorld-Seeds-Clean|CalibForge|Terminal-Lego-15k,4.2
multi-source-data-merger,data-processing_20260508_045740_003|data-processing_20260615_143956_003|data-processing_20260604_193056_003|task_009065_79ba1fe5|data-processing_20260424_090344_003|data-processing_20260604_004411_001|data-processing_20260419_023954_003|task_002333_9fc62ff2|data-processing_20260508_045740_002|task_002650_61b2beb7,CalibForge|CalibForge|CalibForge|TMax-15K|CalibForge|CalibForge|CalibForge|TMax-15K|CalibForge|TMax-15K,4.4
nginx-request-logging,task_007982_fd0af271|task_005935_cd483540|task_02263|system-administration_20260604_003814_006|task_11850|system-administration_20260505_093950_009|task_11831|system-administration_20260514_012509_001|task_02269|system-administration_20260428_101637_006,TMax-15K|TMax-15K|Terminal-Lego-15k|CalibForge|Terminal-Lego-15k|CalibForge|Terminal-Lego-15k|CalibForge|Terminal-Lego-15k|CalibForge,4.4
openssl-selfsigned-cert,task_03210|task_004217_d1b30a4b|task_03398|task_000411_2d024b4b|task_03231|task_03250|system-administration_20260604_144210_009|task_03440|security_20260414_080620_005|pyca__cryptography-11201,Terminal-Lego-15k|TMax-15K|Terminal-Lego-15k|TMax-15K|Terminal-Lego-15k|Terminal-Lego-15k|CalibForge|Terminal-Lego-15k|CalibForge|SWE-Rebench-Tasks-Clean,4.3
overfull-hbox,task_03843|rts_task_891c28df009cf61e04497265|software-engineering_20260604_004411_002|kozea__weasyprint-2416|rts_task_8c3c874eeb0e8e539b6a1d81|tw_96480|rts_task_42dbe1500f876578d41c1cac|task_13005|software-engineering_20260606_153537_001|rts_task_0671c14dff57b9cade9ba19e,Terminal-Lego-15k|Recursive-Task-Synthesis|CalibForge|SWE-Rebench-Tasks-Clean|Recursive-Task-Synthesis|TerminalWorld-Seeds-Clean|Recursive-Task-Synthesis|Terminal-Lego-15k|CalibForge|Recursive-Task-Synthesis,3.7
password-recovery,task_003508_09ead467|software-engineering_20260610_112157_014|security_20260606_172606_006|task_002365_ffa9d21d|task_000785_0e48509f|security_20260508_045920_006|task_002070_2b5618f2|task_000187_f6be7814|file-operations_20260509_020109_004|task_000358_79df129c,TMax-15K|CalibForge|CalibForge|TMax-15K|TMax-15K|CalibForge|TMax-15K|TMax-15K|CalibForge|TMax-15K,4.8
path-tracing,software-engineering_20260503_030115_015|software-engineering_20260606_153537_023|software-engineering_20260615_143301_013|software-engineering_20260610_111012_015|software-engineering_20260604_193056_015|task_000683_630e99e7|software-engineering_20260606_172554_015|task_000004_b4949f3f|software-engineering_20260604_004411_015|software-engineering_20260615_105532_014,CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|TMax-15K|CalibForge|TMax-15K|CalibForge|CalibForge,4.1
path-tracing-reverse,software-engineering_20260607_104421_016|software-engineering_20260604_003113_017|software-engineering_20260604_004411_016|software-engineering_20260606_153537_016|software-engineering_20260615_143956_016|task_000764_177f2810|task_003072_1accbfc2|software-engineering_20260606_172606_015|task_000430_37cb6021|task_002266_d750b211,CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|TMax-15K|TMax-15K|CalibForge|TMax-15K|TMax-15K,5.0
polyglot-c-py,software-engineering_20260617_210354_017|software-engineering_20260415_123352_017|software-engineering_20260612_191200_018|software-engineering_20260604_004411_018|software-engineering_20260612_191200_017|software-engineering_20260611_210349_018|software-engineering_20260414_211532_018|task_00979|pyccel__pyccel-2038|software-engineering_20260603_181444_020,CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|Terminal-Lego-15k|SWE-Rebench-Tasks-Clean|CalibForge,4.3
polyglot-rust-c,software-engineering_20260617_210354_017|software-engineering_20260612_191200_018|software-engineering_20260415_123352_017|software-engineering_20260612_191200_017|software-engineering_20260611_210349_018|software-engineering_20260604_004411_018|task_00979|robotpy__cxxheaderparser-50|tw_730164|task_006315_7ba72aba,CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|Terminal-Lego-15k|SWE-Rebench-Tasks-Clean|TerminalWorld-Seeds-Clean|TMax-15K,4.0
portfolio-optimization,optimization_20260503_182123_001|optimization_20260607_104421_001|optimization_20260416_031414_001|optimization_20260612_191200_001|optimization_20260618_093107_001|optimization_20260604_002443_001|optimization_20260604_193056_001|task_004272_43e6cead|task_04671|optimization_20260615_143301_001,CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|TMax-15K|Terminal-Lego-15k|CalibForge,4.2
protein-assembly,scientific-computing_20260617_104707_003|scientific-computing_20260508_045800_004|scientific-computing_20260508_180627_004|scientific-computing_20260414_211532_006|scientific-computing_20260415_094424_006|task_000836_100fba26|scientific-computing_20260416_172928_003|scientific-computing_20260510_005520_006|scientific-computing_20260610_111012_004|task_000136_2544ba16,CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|TMax-15K|CalibForge|CalibForge|CalibForge|TMax-15K,4.0
prove-plus-comm,software-engineering_20260510_062946_019|software-engineering_20260422_235124_019|tw_283245|software-engineering_20260501_172213_019|rts_task_062c48c4e03486aab7ff1909|rts_task_9bea742175cbc6b155920a37|task_09064|tw_17407|software-engineering_20260419_112101_004|task_08953,CalibForge|CalibForge|TerminalWorld-Seeds-Clean|CalibForge|Recursive-Task-Synthesis|Recursive-Task-Synthesis|Terminal-Lego-15k|TerminalWorld-Seeds-Clean|CalibForge|Terminal-Lego-15k,3.8
