tb21_id,top1_source,top1_task_id,top1_score,top30_task_ids
cobol-modernization,TMax-15K,task_002133_9708d4f5,0.1669,task_002133_9708d4f5|tw_11391|task_006127_e5901d38|tw_120186|rts_task_3032f263b7409b3d6507974b|task_004642_36a8d8c9|task_005431_4a2c7a0d|rts_task_f6d2b98965bfe5c9f0c11de7|tw_241070|task_003840_911a4d24|rts_task_8ed75bdc12cd0cf5969c2042|tw_522371|tw_525172|task_001194_ea79746d|tw_104903|tw_131625|task_002952_2a941742|task_004323_e19eedb4|tw_425032|tw_108329|rts_task_0e15d6b20cf8b07706dfaa6f|tw_252292|task_003692_a7f53479|rts_task_0fe2b18a1b8cae2e10d91e82|rts_task_6f40e5b3271004149ce42d09|task_004566_50c3d893|rts_task_4cda1b62130cd0e9e0870022|task_007588_f2c5fb08|rts_task_27624a5799a71d3f9286afbc|rts_task_4f406be98244fe6725688b77
code-from-image,TMax-15K,task_005252_9cc400a9,0.1578,task_005252_9cc400a9|tw_319907|task_002391_b5dba2d1|tw_197232|rts_task_6e7106906920194ed82eddd3|rts_task_af23213021b1421b77fa4d6d|rts_task_2fe3dafcc4e9992f4181115a|rts_task_7cad36e4d40e5ada9a16be9f|rts_task_1732801ca4fc6e3b41eccb1a|rts_task_51ee93fe3faed53bb7a0a715|task_001625_1b281dc5|rts_task_a54265eec01e21212e513132|rts_task_11003e3649574173951e4ede|rts_task_fdd277c60768f4e92b14106b|tw_79006|rts_task_51624d765fab1aa15670a83f|rts_task_37078117c66393d9d6786acd|rts_task_0573d2a1ebf6cb582a999034|rts_task_00485a7d14e302fd633b5f71|rts_task_058cc1e05280a6ea6afb96ff|tw_668648|rts_task_01e2cd38b33d389641d3730d|rts_task_034afb7102e2cdb15f457370|tw_152765|rts_task_7bd6775e89fa8e34a2f5a38b|pallets__werkzeug-2995|tw_383451|rts_task_f23e5165af22ca977d521f8f|rts_task_9df014cca80801ad5a025cfe|berriai__litellm-5025
compile-compcert,TerminalWorld-Seeds-Clean,tw_289169,0.1207,tw_289169|tw_214711|rts_task_62bcf5431e2e7da62f190200|rts_task_8ac8296520956a11bf78ea72|tw_2077|task_003778_2be1fc19|tw_89706|rts_task_19ab250cbdb30c45a3871a6b|tw_694280|rts_task_ebafac7a101e97fe45c6bd14|tw_355252|task_001552_87d83871|tw_94975|rts_task_5f91968d8adf22149d340f22|rts_task_cb2209925f86593701ed497f|rts_task_bca2cf8d209e0605ec5c71bc|task_001250_55a32d92|tw_14495|tw_30439|task_006434_837b6176|tw_102926|task_007670_4ef18312|tw_338947|tw_177860|rts_task_b459020543008cbe6b5c95f8|tw_124866|task_007234_fe45ae95|task_002384_377945af|rts_task_768ed07467a71f067b3d80c1|rts_task_c1631f9853257639d60e0f71
configure-git-webserver,TMax-15K,task_000675_9f93cff1,0.1719,task_000675_9f93cff1|rts_task_68cc90a32975bd95ac1c801f|jonathonreinhart__scuba-107|rts_task_2c0b7ae95a28cefa658c4bc3|rts_task_113e2f966378ed0757f51b95|tw_96249|tw_272691|rts_task_12cf4a889406589986fe4f53|tw_109958|rts_task_5fa817ee9666c7f98793bfa7|rts_task_43145459728a8c1f8f02c007|rts_task_94573443b417e5a9675d7237|task_000246_a6a1a315|rts_task_3361339f612c9806f4a76009|rts_task_5390557ae06135fbc19d4afb|rts_task_20e74f8fa468a6ff9be57635|rts_task_489859c7be7e2c966ba7d875|rts_task_22d5133e98b99aa9f05051e5|task_003556_242d66e6|tw_197453|rts_task_e7055dade551975c6a0c0738|rts_task_b473ad9b3c2266851838ad14|rts_task_ac0d6df74db382d7b84bab9c|tw_152942|rts_task_4f3960ca2129e94c1fa508d8|rts_task_49d48ab5dea2ddc15c39ad50|rts_task_72347e287f9320c8e7e93732|tw_224221|rts_task_552f1a739b60b4a900376303|rts_task_0f7df3d3b597a6c200c5d531
constraints-scheduling,SWE-Smith-Seeds-Clean,arrow-py__arrow.1d70d009.func_pm_op_change_const__uid6bkba,0.1196,arrow-py__arrow.1d70d009.func_pm_op_change_const__uid6bkba|arrow-py__arrow.1d70d009.func_basic__p9zbp6c3|dbader__schedule.82a43db1.func_pm_remove_cond__9tbtqjem|prettytable__prettytable.ca90b055.pr_312|researchobject__ro-crate-py-192|yelp__bravado-core-41|rts_task_87e078400e5dc2b5a27465f0|arrow-py__arrow.1d70d009.func_pm_op_break_chains__198tzvtl|rts_task_e2c6bbec2f1915090a5e041b|msiemens__tinydb.10644a0e.combine_file__l8kgu4aw|gweis__isodate.17cb25eb.combine_file__mm49anzw|cookiecutter__cookiecutter.b4451231.lm_rewrite__l5ekmd58|rts_task_48c5de6914068abfc739d4f1|rts_task_20465cf988bf30d41c3ed092|task_008271_dcf2197d|task_001073_c60ed92d|rts_task_d7bd833b551cbe4bd2450a56|tw_85085|rts_task_90eb01f16b38363a680a33d1|arrow-py__arrow.1d70d009.combine_file__k1edgaoj|rts_task_c818e69b568aae5c440dfae9|rts_task_d38d99a7939bb82af30560aa|rts_task_fbc3da8f9155eb39a25ffdd0|rts_task_3f83f523c3cf932cfae30bf3|pudo__dataset.5c2dc8d3.lm_rewrite__jazezf2x|pyfilesystem__pyfilesystem2-396|elastic__curator-616|rts_task_bd0846f901008cf8f1d2fdb5|task_002180_67339d05|rts_task_29245fd22d19679eebf834c1
count-dataset-tokens,SWE-Smith-Seeds-Clean,tobymao__sqlglot.036601ba.func_pm_ctrl_invert_if__5h5hz0q0,0.1392,tobymao__sqlglot.036601ba.func_pm_ctrl_invert_if__5h5hz0q0|davidhalter__parso.338a5760.func_pm_op_break_chains__pt0nzxrt|tw_609295|task_004324_5c5b1693|task_003481_2f4c8347|tobymao__sqlglot.036601ba.lm_rewrite__aa3aanw3|task_001265_6d9c5be2|rts_task_c502a3ce03a163c0c77dc3b8|rts_task_9bc771d9b2324032cc51f31d|task_001700_5b792f6b|task_007956_d866fca3|rts_task_e5357141d932a28c0c811541|rts_task_75fba8ae436a0b88c089878a|andialbrecht__sqlparse.e57923b3.func_basic__63ry9978|task_002447_06f4b083|rts_task_de370d2548a193a8dff8d433|task_003118_8fb573bb|task_008609_a7be29c2|task_004484_2cf63afc|rts_task_512924ea2b935bc3ec911bc0|task_008278_c9471888|task_004318_22df19f0|task_002068_20c818ba|rts_task_7ba050c586d3068959ae88bf|task_001915_193533b8|tw_17357|task_002008_5b66feb8|boto__botocore-866|task_003169_30d2d67f|task_000988_90611723
crack-7z-hash,TerminalWorld-Seeds-Clean,tw_112619,0.2348,tw_112619|tw_180|tw_17667|task_002817_3aba7d66|task_007000_1423ab60|task_000947_ae2e14dc|task_009277_19f199e7|rts_task_7e6c2443e155fd4fb0ede041|task_003287_5e636c42|task_008443_93744e69|tw_120441|task_006070_2192c46b|task_000273_62065f1c|tw_12704|rts_task_7b3a99335d9e15369d8d4e7a|rts_task_adbc78e047189741a9908fee|task_003155_aa614958|tw_11184|task_002148_8f3ea20c|task_007963_b25cba5e|rts_task_a48b5b8f4779dc03bc771142|task_000104_cc500ca7|task_003683_5367546f|tw_94812|task_003820_3a3265a6|tw_24770|rts_task_88a73e5568434299f86aba55|task_003133_85965df1|task_005573_51a3e53e|task_001386_837f8cbd
custom-memory-heap-crash,Recursive-Task-Synthesis,rts_task_599b3711b356aa5b8b2da62d,0.1449,rts_task_599b3711b356aa5b8b2da62d|rts_task_6bfb00b6d99291f11731de93|rts_task_b0c6d6d30a4342a27f303e0d|conan-io__conan.86f29e13.combine_module__ox7m3k6h|task_006817_eb82e2e9|task_009367_94739316|rts_task_57c4e1e8acc5cb7e796cf956|rts_task_7ac455a6c387466bbf9a0c75|rts_task_3a84f68efb848c2f9199a04a|rts_task_e525d14c5bdb797c0e64866c|rts_task_30b15b4bf772c285fd56afd0|rts_task_cd5785ab662d31c67dfdf586|task_007762_4c0e0bb9|task_005362_cbc0550e|conan-io__conan.86f29e13.combine_module__0jv2n7d9|task_001250_55a32d92|rts_task_c975b07e7f7bd24534c6e47f|rts_task_e60317cf65b268362e64e35d|task_004240_77d21cea|tw_82213|rts_task_33abc4ffa4ec90c6edc30b03|rts_task_69d5c85fc81491cb3f290da2|task_002254_c1a34352|rts_task_92c3fdb25a48e0136c8a5de3|rts_task_35b10dcd4566731c2dff62b9|task_008621_dbccaff4|rts_task_284bd3046b4cdb80db6a490f|task_007651_396eddfb|task_008168_61dddd2a|rts_task_0671c14dff57b9cade9ba19e
db-wal-recovery,TMax-15K,task_002015_30c1f280,0.2152,task_002015_30c1f280|task_006233_135a49fb|task_003707_9f05bcd8|task_001232_90014e7e|task_000397_d04a33da|task_002714_acb38451|task_008603_489e42cd|task_001874_f242020a|task_004246_4d4eda2b|task_000419_b10fa09b|task_001481_a0c4f228|task_004208_f26c4f10|task_006296_879527eb|task_004582_eeaa776f|task_009557_30502e21|task_004236_b4990cc4|task_003224_63a26bf1|task_001120_46d2caf0|task_004777_b2057787|task_007137_b7fd093f|task_003263_232850e1|task_004248_71513b6b|task_003436_724d1d81|task_000163_8eef8c42|task_003440_e249953f|task_000033_899176aa|task_004021_613b68ef|task_003206_534f7904|task_004029_11978867|task_009699_89d616d9
distribution-search,TMax-15K,task_000624_6f630314,0.4039,task_000624_6f630314|task_005701_f69d0ff3|task_009024_a03a0e94|task_005803_c5e7f386|task_005351_fbfcd08f|task_006404_02dc9357|task_002523_e5b81797|task_004480_81041729|task_000753_b376cf1d|task_003885_f8e0773e|task_001646_8e2c498e|task_005032_421781d3|task_003486_0eb03622|task_005380_f0733200|task_003354_6554ebc0|task_003967_3cc5367f|task_008220_b2145376|task_009335_045f6d67|task_004294_0a6599df|task_004010_08097313|quantum-tii__qibo-328|qiskit__qiskit-terra-9104|task_009442_1bf1775c|task_005460_8586afc5|task_001153_3caae8f4|tw_105368|tw_276570|task_008104_13368dda|task_003688_38f20cc2|jax-ml__jax-28022
dna-assembly,TMax-15K,task_009609_4020df5e,0.2483,task_009609_4020df5e|task_002163_381037c8|task_005794_09f4b5e9|task_001424_b90024c2|task_009177_2918cf64|task_000420_e89f8dcd|task_000317_6a7b03ce|task_004086_0a377c1e|task_005084_af94922a|task_004057_8593151a|task_000919_10837ef0|task_000445_9ff81d3c|task_003740_9bec6ff9|task_007665_7a6d1d13|task_003918_0232af5f|task_002921_af6aaa9c|task_004674_159c4a4e|task_002403_de65c5ea|task_000133_e503cfd1|task_003994_70b7ef28|task_009898_da57518f|task_009904_1cc89ae2|task_005882_20edfc45|task_004572_3cf77524|task_004761_ab6307db|task_006512_ac735565|task_006665_d66c709a|task_006084_fcbadf85|task_002848_91ec92d7|task_001557_043c2bda
dna-insert,TMax-15K,task_005794_09f4b5e9,0.2461,task_005794_09f4b5e9|task_002163_381037c8|task_000420_e89f8dcd|task_001424_b90024c2|task_000317_6a7b03ce|task_005084_af94922a|task_009177_2918cf64|task_000445_9ff81d3c|task_009609_4020df5e|task_003210_39fb9416|task_000919_10837ef0|rts_task_2e448e2220ae20e4e643f49a|task_003330_85beaa25|task_005110_21a8e234|task_008470_d30baf86|task_009904_1cc89ae2|task_003839_04146172|task_000368_ab47f3b0|task_004300_d95264b2|task_002677_a05bbf3a|task_004918_dd4f910f|task_002967_7968ce9a|keras-team__keras-20609|task_006512_ac735565|task_001703_4a3af2c3|task_009681_c7574c7e|task_001557_043c2bda|task_002921_af6aaa9c|task_003918_0232af5f|task_003928_c57d8cb4
extract-elf,Recursive-Task-Synthesis,rts_task_6ec04a2e336c2709f56015d2,0.1496,rts_task_6ec04a2e336c2709f56015d2|rts_task_d2eeb5e11ad83a024e47c1a0|rts_task_7a299ef7f7c936858f8ce37c|rts_task_ea19bd563214f5015855334e|rts_task_bff5f641a48cf72e801e6351|rts_task_6788e1acde34b028d2d8628f|rts_task_8afc843529049715ef1e4037|rts_task_2d714128a2bb76e13d194610|rts_task_e9bd9717826dd5e8349f44d5|rts_task_799f6311c7b7ce4f9a4f1e00|rts_task_95b035e558aeec86eab61a6d|rts_task_cb1aee9ff005495264f88bcc|rts_task_e2b840e5064a2aa9669e0716|rts_task_06a4057cd15c22db0518db12|cool-RR__PySnooper.57472b46.func_basic__0118ryv0|rts_task_6e23ea1d10544071cabd949d|rts_task_c7986e288bfdd1d3cdddb4f7|tw_120186|rts_task_d314c2b2b675c64570bcc121|rts_task_156fe795dd2d7d770390a993|rts_task_aec4624226bd666b96754a7f|rts_task_e6bfaaf5b111bddadf9a9bd4|rts_task_a95da156671525784e5e1b04|rts_task_57e23729fe6ac934e2e35e92|rts_task_6241a1f63be095dd8e31ede1|rts_task_21c2189373417b10a25e510b|rts_task_141d58b8f1c1ea542d548b81|rts_task_b0f12251b561b2dda36be32d|rts_task_bf098d9b8d0b371c6e521de0|rts_task_57c71712b40e868eecd74f97
extract-moves-from-video,TMax-15K,task_001584_a378244c,0.1870,task_001584_a378244c|task_004015_b42f35fa|tw_320582|tw_180|tw_17946|task_001627_2ba00c6f|tw_17667|tw_229615|task_001372_fcd423db|task_004643_2765985d|task_002722_198888d4|task_003986_4e4c690f|task_003722_5daa97ad|rts_task_2871baada66ed1ea8945ea15|task_005765_80f81bc9|tw_125882|tw_120441|rts_task_4366179c24a5ad27ec56943c|task_002480_b1ab0eef|rts_task_666941961a1e82c267da69dd|task_005865_65190c37|task_005222_1fae3e7d|task_001701_ca671f6e|task_004232_30a49346|tw_12457|rts_task_93660e10c8c3f9b88b8edd17|tw_230695|task_002166_d29461b7|task_001338_0a4e1948|rts_task_cc2a8bc1f64fe964ce35b994
feal-differential-cryptanalysis,Recursive-Task-Synthesis,rts_task_eff64e838e9b5d28232cd489,0.1721,rts_task_eff64e838e9b5d28232cd489|ctfd__ctfd-432|task_000448_55abec2a|task_000411_42185240|tw_49852|task_007709_c14cf745|task_000562_1f66318a|task_001141_0e91b17d|task_006773_a7a19f43|task_009063_cfa85938|task_000092_f4073751|task_000646_ec1a312f|task_005229_1cc9db0d|task_005119_5e8b43f0|task_009099_8d1bb196|task_004723_2efb3a23|task_003752_3bf33fad|task_004562_4246f38e|rts_task_ac33913d08a6e94b6f3e5253|tw_126628|task_007857_e34668ed|task_003858_bd0a8990|task_003755_edf3ecf4|task_000064_18c1da13|task_003462_226ee675|task_007674_00e42a45|rts_task_26e1ba1c1999218ecfa2b9a6|rts_task_ea6316194e180620d7a3a84d|rts_task_12d108d50ffcc9a0c960609f|rts_task_df8e05e3f5432e4eadd9863c
feal-linear-cryptanalysis,SWE-Rebench-Tasks-Clean,ctfd__ctfd-432,0.1276,ctfd__ctfd-432|tw_152765|rts_task_eff64e838e9b5d28232cd489|task_002587_6adff37b|rts_task_70c28d0c1504aeec445f543c|tw_12252|rts_task_ea6316194e180620d7a3a84d|rts_task_103e08dfbdaddf1c002335a1|task_001591_094f22d5|jazzband__django-axes-950|task_000562_1f66318a|tw_126628|rts_task_3b1da4bccc3b8bc0fb8a6a4f|task_001001_e70e63ec|task_000448_55abec2a|task_000411_42185240|task_000167_5492f4ae|rts_task_6ab73e1f7207859edd124c3c|task_002573_d7d3d787|tw_609295|task_007708_e6438cc8|task_007709_c14cf745|tw_651283|task_001141_0e91b17d|task_003259_59f825d6|task_006773_a7a19f43|borgbackup__borg-8872|task_009063_cfa85938|rts_task_24e00b13f6c623e7dc47529a|task_003752_3bf33fad
filter-js-from-html,TMax-15K,task_006266_c8cac288,0.2063,task_006266_c8cac288|tw_104903|task_001754_53444aa0|tw_114823|rts_task_ad140bc973d15fa49a1ac667|rts_task_841acb94edb4898e0d0bdb35|task_002713_156bfe23|task_007586_8ce4591e|rts_task_8a38b1df674df5a295bbd507|rts_task_3496f3d0a5f8145225b3e226|rts_task_2e8627d637927aba55061293|getmoto__moto.694ce1f4.pr_6927|tw_94812|rts_task_75596ffa4fb72f34db74eb76|buriy__python-readability.40256f40.func_basic__kjp0xgsf|rts_task_fdf935e0fce21b18fca95b51|mozilla__bleach.73871d76.lm_rewrite__elrad8s4|buriy__python-readability.40256f40.func_pm_remove_loop__mfnnma9q|mahmoud__boltons.3bfcfdd0.func_pm_remove_cond__46bizczi|rts_task_4d50e687e9f904a440b6d180|task_000699_8860634f|rts_task_b0ef6eacc3ab5a8573f11b5a|Knio__dominate.9082227e.lm_rewrite__i11w5427|tw_538643|rts_task_1b2055fd87294fd9bb2b0b53|mahmoud__boltons.3bfcfdd0.func_pm_op_change__4hnmekso|rts_task_e1b79254dbe66cbbcb0961d5|rts_task_31e53715ca7b4b9075254d05|rts_task_4aa3be29ea9611f77d8c535d|rts_task_2848025efb28cf5242f4d3e7
financial-document-processor,Recursive-Task-Synthesis,rts_task_e3e15050ad5aaec4f9852f44,0.1024,rts_task_e3e15050ad5aaec4f9852f44|tw_12673|rts_task_8fe3c6cef6b152d254ad3ec5|tw_288787|rts_task_a8c939ca1e376a318589a543|rts_task_c072cc3984dfebca8948f906|rts_task_775bbbf0c0f661c1c3a23a2e|rts_task_3708b0bb3c41628311889626|rts_task_5060a3ea292f4383d6d60234|rts_task_9ec563bf84bc8f884ea49ac3|rts_task_e0d03d5a550b65b5b5a750cd|rts_task_a0b2bc6aa616081be830a4e2|rts_task_9bfa1172c81676c363e30571|rts_task_a17e3fb23cd14158f9408404|vmware__tern-460|rts_task_62e1d1bca65fb23ea1215bf4|rts_task_d2c90731702c0fcd55866efe|tw_647708|task_003095_da0071dc|rts_task_1b67c61d14ff95c4c4b23890|task_000749_0932ca36|task_005412_2144bd44|geofileops__geofileops-555|rts_task_d9f240207934f1e61e8c16fe|rts_task_b215f93e2e5da8d90f4b2f70|rts_task_bdf6d65f29a3b5a5d8cc2a25|task_000543_136f63d3|task_005333_ec734c36|rts_task_326ee50cce208d6a651fd9f5|rts_task_f65ffdb0b8cab77662031a35
