task_id,run,v12_tier,v13_tier,blocking,notes,pin_candidates,pin_review,v12_lints,empty_run,solve_record,expectation_source,n_assertions
task_001784_a5c84886,run50_virgin,REPAIR,FLAGGED,oracle_reachable | expectation_revealed,,,,L14,ok,never_attempted,rollout_material,7
task_002044_b5aed6ea,run50_virgin,REJECT-PROVEN,FLAGGED,value_derivable,,,,L14,ok,never_attempted,hardcoded_literal,10
task_002196_145dcbba,run50_virgin,REPAIR,FLAGGED,oracle_reachable | expectation_revealed,,,,L4,ok,never_attempted,rollout_material,5
task_002366_067ceb2b,run50_virgin,PASS,SEED,,,,,,ok,never_attempted,hardcoded_literal,18
task_002485_65437461,run50_virgin,PASS,SEED,,,,,L8,ok,never_attempted,hardcoded_literal,7
task_002952_2abd6301,run50_virgin,REPAIR,SEED,,core_clause_unenforced,,,L13,ok,never_attempted,hardcoded_literal,15
task_003191_9eb19219,run50_virgin,PASS,SEED,,,,,,ok,never_attempted,hardcoded_literal,5
task_003445_847aab9f,run50_virgin,REPAIR,SEED,,expectation_movable,/home/user/input.pdb,,,ok,never_attempted,rollout_material,6
task_003492_2c74596d,run50_virgin,REPAIR,SEED,,expectation_movable,/home/user/corpus.txt | /home/user/queries.txt,,L7,ok,never_attempted,rollout_material,15
task_003583_03df5520,run50_virgin,REVIEW,SEED,,,,,,ok,never_attempted,hardcoded_literal,5
task_003725_ca08757c,run50_virgin,REVIEW,UNSURE,,core_clause_unenforced,,,L13,ok,never_attempted,hardcoded_literal,9
task_004150_11ef4099,run50_virgin,REPAIR,SEED,,weak_verifier_exploit,,,,ok,never_attempted,hardcoded_literal,11
task_004227_00e8d97f,run50_virgin,PASS,SEED,,,,,L15,ok,never_attempted,hardcoded_literal,5
task_004374_60302170,run50_virgin,REPAIR,SEED,,core_clause_unenforced,,,,ok,never_attempted,shape_only,7
task_004518_99f02e33,run50_virgin,REPAIR,FLAGGED,overspecific_check,,,,,ok,never_attempted,hardcoded_literal,4
task_004677_12d8c701,run50_virgin,PASS,SEED,,,,,,ok,never_attempted,hardcoded_literal,4
task_004874_dd948629,run50_virgin,REPAIR,SEED,,core_clause_unenforced,,,,ok,never_attempted,hardcoded_literal,6
task_005093_10649346,run50_virgin,REPAIR,FLAGGED,oracle_reachable | expectation_revealed,,,,,ok,never_attempted,rollout_material,4
task_005304_5817af6b,run50_virgin,REPAIR,FLAGGED,value_derivable | overspecific_check,core_clause_unenforced,,,,ok,never_attempted,hardcoded_literal,9
task_005324_64d68510,run50_virgin,REPAIR,FLAGGED,overspecific_check,,,,L15,ok,never_attempted,hardcoded_literal,9
task_005362_cbc0550e,run50_virgin,REPAIR,FLAGGED,value_derivable,core_clause_unenforced,,,L11,ok,never_attempted,hardcoded_literal,10
task_006188_eb12b107,run50_virgin,PASS,SEED,,,,,,ok,never_attempted,hardcoded_literal,7
task_006663_1060cac9,run50_virgin,PASS,SEED,,,,,,ok,never_attempted,hardcoded_literal,7
task_006781_c7f5ec7b,run50_virgin,PASS,SEED,,,,,,ok,never_attempted,hardcoded_literal,5
task_007499_d063a294,run50_virgin,REPAIR,SEED,,expectation_movable,/home/user/company.db,,,ok,never_attempted,rollout_material,7
task_007547_60fe668e,run50_virgin,REPAIR,SEED,,expectation_movable,/home/user/dataset.db,,,ok,never_attempted,rollout_material,8
task_007562_d9c17033,run50_virgin,REPAIR,SEED,,expectation_movable,/home/user/data/raw_metrics.csv | /home/user/data/model_weights.json,,,ok,never_attempted,rollout_material,7
task_007819_5197236a,run50_virgin,REPAIR,FLAGGED,overspecific_check,,,,L11 | L7,ok,never_attempted,hardcoded_literal,3
task_008016_313e9a61,run50_virgin,REPAIR,FLAGGED,oracle_reachable,,,,,ok,never_attempted,hardcoded_literal,8
task_008158_b4e693fe,run50_virgin,PASS,SEED,,,,,,ok,never_attempted,hardcoded_literal,5
task_008604_898e6887,run50_virgin,REPAIR,FLAGGED,value_derivable | overspecific_check,,,,L11 | L3,ok,never_attempted,hardcoded_literal,6
task_009177_2918cf64,run50_virgin,REPAIR,FLAGGED,expectation_revealed | value_derivable | unstable_reward,,,,,ok,never_attempted,rollout_material,8
task_009391_084c6181,run50_virgin,REPAIR,SEED,,expectation_movable,/home/user/raw_sensor.csv,,,ok,never_attempted,rollout_material,11
task_009525_81436280,run50_virgin,PASS,SEED,,,,,,ok,never_attempted,hardcoded_literal,5
task_009962_92bf3dfc,run50_virgin,REPAIR,SEED,,expectation_movable,/home/user/drift_data/*.csv,/home/user/drift_data/*.csv is a glob: expand it against the built image,L13 | L7,ok,never_attempted,rollout_material,8
task_000001_1a03ebc5,run600,REPAIR,SEED,,expectation_movable,/home/user/data.csv,,L7,ok,solved,rollout_material,5
task_000002_81d660f3,run600,REPAIR,UNSURE,,weak_verifier_exploit,,,,ok,never_attempted,hardcoded_literal,9
task_000007_654ab1c7,run600,PASS,SEED,,,,,,ok,solved,hardcoded_literal,7
task_000009_dbc34e08,run600,REPAIR,FLAGGED,overspecific_check,,,,,ok,solved,hardcoded_literal,10
task_000010_7c427a6f,run600,PASS,SEED,,,,,,ok,solved,hardcoded_literal,6
task_000011_24e54d45,run600,REPAIR,SEED,,expectation_movable,/home/user/sequences.fasta,,,ok,solved,rollout_material,3
task_000014_3d9789ba,run600,PASS,SEED,,,,,,ok,solved,hardcoded_literal,11
task_000015_6615e8e8,run600,REJECT-PROVEN,FLAGGED,expectation_revealed | overspecific_check,core_clause_unenforced,,,L3 | L4,ok,never_attempted,rollout_material,10
task_000015_802ac83d,run600,PASS,SEED,,,,,,ok,solved,hardcoded_literal,9
task_000016_3ffaf505,run600,PASS,SEED,,,,,,ok,solved,hardcoded_literal,7
task_000018_3997ce32,run600,REPAIR,FLAGGED,overspecific_check,,,,,ok,never_attempted,hardcoded_literal,4
task_000019_d40ae014,run600,PASS,SEED,,,,,,ok,solved,hardcoded_literal,14
task_000021_ab956b8c,run600,REPAIR,FLAGGED,overspecific_check,core_clause_unenforced,,,L7,ok,never_attempted,hardcoded_literal,4
task_000023_004a85b4,run600,REPAIR,SEED,,core_clause_unenforced,,,,ok,solved,hardcoded_literal,7
task_000024_5288b9fe,run600,REPAIR,SEED,,expectation_movable | core_clause_unenforced,/app/test_audio.wav,,L7,ok,never_attempted,rollout_material,5
task_000025_b3c538ae,run600,REPAIR,SEED,,core_clause_unenforced,,,L13 | L8,ok,solved,hardcoded_literal,9
task_000029_1714328f,run600,REPAIR,SEED,,core_clause_unenforced,,,,ok,never_attempted,hardcoded_literal,6
task_000032_5b0167e2,run600,REVIEW,SEED,,expectation_movable,/home/user/data.txt,,,ok,solved,rollout_material,7
task_000033_0b133897,run600,REPAIR,SEED,,weak_verifier_exploit,,,,ok,0_of_3,hardcoded_literal,3
task_000043_12653d83,run600,REPAIR,FLAGGED,oracle_reachable | expectation_revealed,core_clause_unenforced,,,L3,ok,never_attempted,rollout_material,2
task_000046_69d56d65,run600,REPAIR,SEED,,expectation_movable | core_clause_unenforced,/home/user/config_changes.jsonl,,,ok,never_attempted,rollout_material,10
task_000048_b0bd6829,run600,PASS,SEED,,,,,,ok,solved,test_only,13
task_000054_af9a5eff,run600,PASS,SEED,,,,,,ok,never_attempted,hardcoded_literal,2
task_000056_f726766b,run600,REPAIR,SEED,,expectation_movable,/app/vibration_data.wav,,,ok,solved,rollout_material,11
task_000057_e980d518,run600,REPAIR,FLAGGED,overspecific_check,,,,,ok,never_attempted,hardcoded_literal,10
task_000063_e9329728,run600,REJECT-PROVEN,FLAGGED,value_derivable,,,,,ok,never_attempted,hardcoded_literal,6
task_000070_a7d62d01,run600,PASS,SEED,,,,,,ok,solved,test_only,10
task_000075_827b7baa,run600,PASS,SEED,,,,,,ok,solved,hardcoded_literal,4
task_000075_862ad640,run600,REVIEW,SEED,,weak_verifier_exploit,,,,ok,never_attempted,hardcoded_literal,7
task_000079_76a46e77,run600,REVIEW,SEED,,weak_verifier_exploit,,,,ok,never_attempted,shape_only,3
task_000081_ee7d0114,run600,PASS,SEED,,,,,,ok,solved,hardcoded_literal,2
task_000083_53332680,run600,REPAIR,FLAGGED,value_derivable,,,,L1,ok,solved,hardcoded_literal,4
task_000085_f540b211,run600,PASS,SEED,,,,,,ok,solved,hardcoded_literal,2
task_000087_44bd3ded,run600,PASS,SEED,,,,,,ok,solved,hardcoded_literal,3
task_000094_77feb9f0,run600,REPAIR,SEED,,core_clause_unenforced,,,,ok,never_attempted,shape_only,4
task_000094_87018798,run600,REPAIR,FLAGGED,overspecific_check,,,,,ok,solved,hardcoded_literal,5
task_000100_29669868,run600,PASS,SEED,,,,,,ok,0_of_3,hardcoded_literal,15
task_000100_49c09ea0,run600,REPAIR,FLAGGED,overspecific_check,,,,,ok,solved,hardcoded_literal,10
task_000102_23d0bca1,run600,REPAIR,FLAGGED,value_derivable,,,,,ok,never_attempted,hardcoded_literal,10
task_000106_92ab4e12,run600,REPAIR,SEED,,expectation_movable,/home/user/backups.db,,,ok,solved,rollout_material,8
task_000109_9dcdc97b,run600,REPAIR,SEED,,core_clause_unenforced,,,,ok,solved,hardcoded_literal,10
task_000112_fefb47b8,run600,PASS,SEED,,,,,,ok,solved,hardcoded_literal,4
task_000116_71d174fa,run600,PASS,SEED,,,,,,ok,0_of_3,hardcoded_literal,6
task_000117_7c63eddc,run600,PASS,SEED,,,,,,ok,0_of_3,hardcoded_literal,7
task_000118_430dd329,run600,PASS,SEED,,,,,,ok,solved,hardcoded_literal,2
task_000119_84a08499,run600,REPAIR,FLAGGED,value_derivable | overspecific_check,core_clause_unenforced,,,,ok,solved,hardcoded_literal,10
task_000121_a56b5844,run600,REPAIR,SEED,,weak_verifier_exploit,,,,ok,solved,hardcoded_literal,3
task_000122_19e84c46,run600,REPAIR,SEED,,expectation_movable,/home/user/latency_profiles.json,,,ok,solved,rollout_material,15
task_000123_4fbab6a2,run600,REPAIR,FLAGGED,oracle_reachable | expectation_revealed,,,,L3,ok,never_attempted,rollout_material,9
task_000125_99ca1102,run600,PASS,SEED,,,,,,ok,solved,hardcoded_literal,10
task_000128_6a68aa1d,run600,REPAIR,SEED,,expectation_movable,/home/user/raw_logs.jsonl,,L7,ok,solved,rollout_material,14
task_000132_72484cb9,run600,REPAIR,SEED,,core_clause_unenforced,,,L11 | L13,ok,never_attempted,hardcoded_literal,15
task_000134_39daeb5b,run600,REPAIR,SEED,,core_clause_unenforced,,,,ok,solved,hardcoded_literal,18
task_000138_e5f9026c,run600,PASS,SEED,,,,,,ok,solved,hardcoded_literal,13
task_000141_f776aa78,run600,REPAIR,SEED,,core_clause_unenforced,,,,ok,0_of_3,shape_only,17
task_000142_395c1c7f,run600,REPAIR,FLAGGED,overspecific_check,,,,,ok,never_attempted,hardcoded_literal,6
task_000144_8d5c2762,run600,REJECT-PROVEN,FLAGGED,expectation_revealed | value_derivable,,,,L3,ok,never_attempted,rollout_material,8
task_000145_d9cedde9,run600,PASS,SEED,,,,,L11,ok,solved,hardcoded_literal,5
task_000146_33815312,run600,PASS,SEED,,,,,,ok,0_of_3,hardcoded_literal,14
task_000154_679ac95d,run600,PASS,SEED,,,,,L9,ok,solved,hardcoded_literal,15
task_000155_91b6fb26,run600,REVIEW,FLAGGED,value_derivable,,,,,ok,solved,hardcoded_literal,16
task_000156_2f395118,run600,REPAIR,FLAGGED,oracle_reachable | overspecific_check,core_clause_unenforced,,,,ok,solved,test_only,2
task_000159_f8924fdb,run600,PASS,SEED,,,,,,ok,solved,hardcoded_literal,8
task_000160_121a396b,run600,REPAIR,FLAGGED,value_derivable | unstable_reward,expectation_movable | core_clause_unenforced,/data/configs.db,,L13,ok,never_attempted,rollout_material,4
task_000161_a8d0d6f0,run600,PASS,SEED,,,,,,ok,0_of_3,hardcoded_literal,14
task_000169_c9d4134e,run600,REJECT-PROVEN,FLAGGED,expectation_revealed,,,,,ok,never_attempted,rollout_material,4
task_000175_c33a0c15,run600,PASS,SEED,,,,,,ok,solved,hardcoded_literal,10
task_000178_a84e9599,run600,REPAIR,FLAGGED,overspecific_check,core_clause_unenforced,,,,ok,solved,hardcoded_literal,14
task_000179_d9d1d25c,run600,REPAIR,SEED,,core_clause_unenforced,,,,ok,never_attempted,hardcoded_literal,9
task_000183_2ce41474,run600,REPAIR,FLAGGED,overspecific_check,,,,,ok,0_of_3,hardcoded_literal,5
task_000184_1ce10692,run600,PASS,SEED,,,,,L14,ok,never_attempted,hardcoded_literal,12
task_000189_231156cd,run600,PASS,SEED,,,,,,ok,0_of_3,hardcoded_literal,13
task_000191_43b277e0,run600,REPAIR,SEED,,core_clause_unenforced,,,,ok,solved,hardcoded_literal,7
task_000192_5daa80df,run600,REPAIR,FLAGGED,unstable_reward,,,,,ok,never_attempted,hardcoded_literal,10
task_000194_accd9d89,run600,REJECT-PROVEN,FLAGGED,expectation_revealed | value_derivable,core_clause_unenforced,,,L7,ok,solved,rollout_material,8
task_000196_903490f1,run600,REPAIR,SEED,,expectation_movable | core_clause_unenforced,/home/user/manager/artifacts/alpha.bin,,L13 | L7,ok,solved,rollout_material,10
task_000196_bb8c67cf,run600,REPAIR,FLAGGED,oracle_reachable | expectation_revealed,,,,,ok,0_of_3,rollout_material,9
task_000198_288f5d77,run600,REVIEW,SEED,,,,,,ok,0_of_3,hardcoded_literal,7
task_000207_ad508e7c,run600,PASS,SEED,,,,,,ok,solved,hardcoded_literal,3
task_000209_cecbee3d,run600,REPAIR,SEED,,core_clause_unenforced,,,,ok,never_attempted,hardcoded_literal,4
task_000213_02e842d1,run600,REPAIR,SEED,,weak_verifier_exploit,,,,ok,never_attempted,shape_only,3
task_000214_723bf7c4,run600,PASS,SEED,,,,,,ok,solved,hardcoded_literal,5
task_000217_6e764f81,run600,REJECT-PROVEN,FLAGGED,value_derivable,,,,,ok,never_attempted,hardcoded_literal,3
task_000220_ab2204ea,run600,REPAIR,FLAGGED,overspecific_check,,,,,ok,never_attempted,hardcoded_literal,8
task_000221_0d2825d8,run600,REJECT-PROVEN,FLAGGED,value_derivable,core_clause_unenforced,,,,ok,never_attempted,hardcoded_literal,2
task_000221_fb2fd737,run600,REPAIR,FLAGGED,oracle_reachable,core_clause_unenforced,,,,ok,solved,hardcoded_literal,3
task_000222_0820de08,run600,PASS,SEED,,,,,,ok,solved,hardcoded_literal,5
task_000226_18a13697,run600,REJECT-PROVEN,FLAGGED,expectation_revealed | value_derivable,,,,,ok,never_attempted,rollout_material,5
task_000229_d0789852,run600,REPAIR,FLAGGED,oracle_reachable | expectation_revealed,,,,,ok,solved,rollout_material,5
task_000232_ca1072ad,run600,REPAIR,SEED,,core_clause_unenforced,,,,ok,solved,hardcoded_literal,9
task_000234_e28751fb,run600,REPAIR,SEED,,weak_verifier_exploit,,,,ok,never_attempted,hardcoded_literal,13
task_000235_d861beea,run600,REPAIR,SEED,,expectation_movable | core_clause_unenforced,/home/user/perf_data.csv,,L7,ok,solved,rollout_material,11
task_000236_4626f947,run600,REPAIR,FLAGGED,overspecific_check,,,,,ok,never_attempted,hardcoded_literal,10
task_000237_a4f6b704,run600,REPAIR,SEED,,expectation_movable,/home/user/dataset_organizer/data/embeddings.csv,,L7,ok,solved,rollout_material,4
task_000241_547763df,run600,REPAIR,SEED,,core_clause_unenforced,,,,ok,solved,hardcoded_literal,2
task_000244_5126f863,run600,REPAIR,SEED,,weak_verifier_exploit,,,,ok,never_attempted,hardcoded_literal,9
task_000245_e94e81ce,run600,PASS,SEED,,,,,,ok,solved,hardcoded_literal,13
task_000247_8bbba731,run600,PASS,SEED,,,,,,ok,solved,hardcoded_literal,12
task_000248_ea207306,run600,REPAIR,SEED,,core_clause_unenforced,,,L10 | L13,ok,never_attempted,hardcoded_literal,6
task_000250_312c1dbc,run600,REPAIR,FLAGGED,oracle_reachable | expectation_revealed | value_derivable,,,,L3,ok,never_attempted,rollout_material,4
task_000251_a957ff95,run600,PASS,SEED,,,,,,ok,never_attempted,hardcoded_literal,4
task_000254_1f7650f6,run600,PASS,SEED,,,,,,ok,never_attempted,test_only,10
task_000256_17f8ca77,run600,PASS,SEED,,,,,,ok,solved,hardcoded_literal,8
task_000257_3aa7e8dc,run600,REPAIR,FLAGGED,overspecific_check,,,,L7,ok,never_attempted,shape_only,8
task_000259_9b13e0e3,run600,PASS,SEED,,,,,,ok,0_of_3,hardcoded_literal,11
task_000261_c4b6db13,run600,REPAIR,SEED,,core_clause_unenforced,,,,ok,0_of_3,hardcoded_literal,9
task_000263_6600ff80,run600,REJECT-PROVEN,FLAGGED,value_derivable,,,,,ok,solved,hardcoded_literal,16
task_000265_23b37d70,run600,REVIEW,UNSURE,,,,,,ok,never_attempted,hardcoded_literal,7
task_000267_71b0b1ad,run600,REJECT-PROVEN,FLAGGED,expectation_revealed,,,,L3 | L7,ok,never_attempted,rollout_material,5
task_000272_5966f420,run600,REPAIR,UNSURE,,,,,,ok,never_attempted,test_only,9
task_000285_3604e31b,run600,REPAIR,SEED,,core_clause_unenforced,,,,ok,never_attempted,hardcoded_literal,12
task_000288_67890451,run600,REVIEW,SEED,,,,,,ok,never_attempted,hardcoded_literal,4
task_000296_4acc6587,run600,REPAIR,FLAGGED,value_derivable,,,,,ok,solved,hardcoded_literal,5
task_000297_dd740392,run600,REPAIR,SEED,,core_clause_unenforced,,,L13,ok,solved,hardcoded_literal,7
task_000303_d84e5ea0,run600,REPAIR,FLAGGED,overspecific_check,,,,,ok,never_attempted,hardcoded_literal,6
task_000305_0d6321e1,run600,PASS,SEED,,,,,,ok,solved,hardcoded_literal,10
task_000307_8c39a016,run600,PASS,SEED,,,,,L15,ok,0_of_3,hardcoded_literal,8
task_000311_9e22fec5,run600,REPAIR,FLAGGED,value_derivable,,,,L3,ok,solved,hardcoded_literal,2
task_000314_7c80811b,run600,REPAIR,FLAGGED,unstable_reward,core_clause_unenforced,,,,ok,never_attempted,hardcoded_literal,13
task_000314_931a6afc,run600,PASS,SEED,,,,,,ok,solved,hardcoded_literal,14
task_000315_b639cdb7,run600,REPAIR,FLAGGED,overspecific_check,,,,,ok,never_attempted,test_only,5
task_000316_02020782,run600,PASS,SEED,,,,,,ok,never_attempted,test_only,9
task_000319_d105c709,run600,REPAIR,SEED,,core_clause_unenforced,,,,ok,solved,hardcoded_literal,12
task_000322_52e0a9fe,run600,REPAIR,FLAGGED,overspecific_check,,,,L11,ok,never_attempted,hardcoded_literal,14
task_000325_376957fb,run600,REPAIR,FLAGGED,overspecific_check,,,,,ok,0_of_3,hardcoded_literal,10
task_000330_e670f9a0,run600,REPAIR,SEED,,core_clause_unenforced,,,,ok,never_attempted,hardcoded_literal,4
task_000331_cc450fdc,run600,REPAIR,FLAGGED,value_derivable | overspecific_check,core_clause_unenforced,,,L3,ok,never_attempted,hardcoded_literal,5
task_000334_af1152bf,run600,REPAIR,SEED,,expectation_movable,/home/user/app_restore/data,,,ok,solved,rollout_material,3
task_000346_e7303109,run600,REPAIR,SEED,,weak_verifier_exploit,,,L15,ok,never_attempted,hardcoded_literal,3
task_000349_9cf5e9b2,run600,REPAIR,FLAGGED,value_derivable | overspecific_check,core_clause_unenforced,,,,ok,never_attempted,hardcoded_literal,3
task_000354_4e76c087,run600,PASS,SEED,,,,,,ok,0_of_3,hardcoded_literal,4
task_000360_30733dd8,run600,PASS,SEED,,,,,,ok,solved,hardcoded_literal,4
task_000365_5c156f87,run600,REPAIR,FLAGGED,overspecific_check,,,,,ok,never_attempted,hardcoded_literal,8
task_000366_9b36f7fb,run600,REPAIR,FLAGGED,overspecific_check,,,,,ok,never_attempted,hardcoded_literal,7
task_000368_4536bebb,run600,PASS,SEED,,,,,L8,ok,solved,test_only,7
task_000368_ab47f3b0,run600,REPAIR,SEED,,expectation_movable,/home/user/sensor_data.csv,,L7,ok,solved,rollout_material,6
task_000371_24753c75,run600,REPAIR,SEED,,expectation_movable | core_clause_unenforced,/app/traffic.mp4,,L7,ok,0_of_3,rollout_material,6
task_000371_d0ff3ecb,run600,REVIEW,SEED,,core_clause_unenforced,,,,ok,never_attempted,hardcoded_literal,7
task_000372_03367714,run600,PASS,SEED,,,,,,ok,never_attempted,hardcoded_literal,6
task_000373_9507bc2c,run600,REVIEW,FLAGGED,expectation_revealed | value_derivable,,,,,ok,never_attempted,rollout_material,4
task_000376_21cd4272,run600,REVIEW,SEED,,core_clause_unenforced,,,,ok,solved,hardcoded_literal,9
task_000377_613e2e38,run600,REPAIR,SEED,,expectation_movable | core_clause_unenforced,/home/user/target.fasta,,L7,ok,solved,rollout_material,13
task_000380_413c0eac,run600,REPAIR,SEED,,core_clause_unenforced,,,L11,ok,solved,hardcoded_literal,7
task_000381_3cdf2def,run600,REPAIR,SEED,,core_clause_unenforced,,,,ok,never_attempted,hardcoded_literal,18
task_000385_5d3a44e7,run600,PASS,SEED,,,,,,ok,0_of_3,hardcoded_literal,5
task_000387_5cbd2f2c,run600,REVIEW,FLAGGED,expectation_revealed | value_derivable,,,,L7,ok,solved,rollout_material,6
task_000397_d04a33da,run600,PASS,SEED,,,,,,ok,never_attempted,hardcoded_literal,5
task_000399_25b6e161,run600,REPAIR,SEED,,core_clause_unenforced,,,,ok,never_attempted,hardcoded_literal,14
task_000401_0e6a6c50,run600,PASS,SEED,,,,,,ok,never_attempted,hardcoded_literal,9
task_000402_bd6a39f6,run600,PASS,SEED,,,,,,ok,0_of_3,hardcoded_literal,3
task_000408_cc562346,run600,REPAIR,FLAGGED,expectation_revealed | value_derivable,core_clause_unenforced,,,L3,ok,never_attempted,rollout_material,4
task_000416_754609f9,run600,REPAIR,FLAGGED,value_derivable,core_clause_unenforced,,,,ok,never_attempted,hardcoded_literal,4
task_000417_e5e5874b,run600,REPAIR,SEED,,,,,,ok,never_attempted,hardcoded_literal,4
task_000420_2c758b19,run600,REPAIR,FLAGGED,oracle_reachable | value_derivable,,,,L3,ok,never_attempted,hardcoded_literal,2
task_000420_e89f8dcd,run600,REPAIR,FLAGGED,overspecific_check,,,,,ok,never_attempted,hardcoded_literal,2
task_000427_bfb3d39e,run600,PASS,SEED,,,,,L11,ok,solved,hardcoded_literal,3
task_000432_d7579cdb,run600,REPAIR,FLAGGED,oracle_reachable | expectation_revealed,,,,,ok,never_attempted,rollout_material,5
task_000433_86c283e1,run600,REPAIR,FLAGGED,value_derivable | overspecific_check,core_clause_unenforced,,,,ok,never_attempted,hardcoded_literal,7
task_000434_3584987b,run600,REJECT-PROVEN,FLAGGED,value_derivable,core_clause_unenforced,,,,ok,never_attempted,hardcoded_literal,6
task_000436_19287803,run600,PASS,SEED,,,,,,ok,never_attempted,hardcoded_literal,5
task_000437_6cb600f8,run600,REVIEW,UNSURE,value_derivable,,,,L13,ok,solved,hardcoded_literal,4
task_000438_8a389262,run600,REPAIR,SEED,,expectation_movable | core_clause_unenforced,/home/user/data/raw_measurements.csv,,L11,ok,never_attempted,rollout_material,19
task_000441_46ca3e85,run600,REPAIR,SEED,,expectation_movable | core_clause_unenforced,/home/user/ecommerce.db,,L7,ok,solved,rollout_material,17
task_000443_90a5ee10,run600,REPAIR,SEED,,core_clause_unenforced,,,L11,ok,solved,hardcoded_literal,12
task_000445_9ff81d3c,run600,REJECT-PROVEN,FLAGGED,value_derivable,,,,,ok,never_attempted,test_only,5
task_000456_86365763,run600,PASS,SEED,,,,,,ok,0_of_3,hardcoded_literal,14
task_000458_f497a0ac,run600,REPAIR,SEED,,core_clause_unenforced,,,L11,ok,solved,hardcoded_literal,12
task_000459_7f1989b6,run600,REPAIR,FLAGGED,expectation_revealed | value_derivable | unstable_reward,core_clause_unenforced,,,,ok,solved,rollout_material,6
task_000461_77825b56,run600,PASS,SEED,,,,,,ok,never_attempted,hardcoded_literal,5
task_000461_94f6168a,run600,REPAIR,UNSURE,,core_clause_unenforced,,,,ok,solved,hardcoded_literal,11
task_000465_61c53d5b,run600,REPAIR,SEED,,core_clause_unenforced,,,,ok,never_attempted,hardcoded_literal,3
task_000467_5793d509,run600,REPAIR,FLAGGED,value_derivable,core_clause_unenforced,,,,ok,solved,hardcoded_literal,3
task_000468_a55bef32,run600,REPAIR,SEED,,core_clause_unenforced,,,,ok,0_of_3,hardcoded_literal,7
task_000469_6610bd81,run600,PASS,SEED,,,,,,ok,0_of_3,test_only,9
task_000478_952a65d3,run600,PASS,SEED,,,,,,ok,solved,hardcoded_literal,7
task_000479_cf71224b,run600,REPAIR,FLAGGED,oracle_reachable | expectation_revealed | value_derivable | overspecific_check,,,,L3,ok,never_attempted,rollout_material,8
task_000486_8ed674fd,run600,REVIEW,UNSURE,,,,,,ok,solved,hardcoded_literal,16
task_000501_3c7739f3,run600,REJECT-PROVEN,FLAGGED,value_derivable,,,,,ok,never_attempted,hardcoded_literal,4
task_000503_f77c4cd7,run600,REPAIR,FLAGGED,overspecific_check,,,,,ok,solved,hardcoded_literal,10
task_000504_d57286d9,run600,PASS,SEED,,,,,,ok,solved,test_only,8
task_000514_f6d0d50b,run600,REPAIR,SEED,,core_clause_unenforced,,,,ok,never_attempted,hardcoded_literal,9
task_000517_a4dfb7c4,run600,REVIEW,UNSURE,,core_clause_unenforced,,,,ok,solved,hardcoded_literal,4
task_000519_2f0b3d5d,run600,REJECT-PROVEN,FLAGGED,value_derivable,expectation_movable,/home/user/data.npy,,,ok,never_attempted,rollout_material,9
task_000524_1b573147,run600,PASS,SEED,,,,,L11,ok,never_attempted,hardcoded_literal,4
task_000532_575eee22,run600,REPAIR,FLAGGED,value_derivable,,,,L3,ok,never_attempted,hardcoded_literal,5
task_000534_692babf2,run600,REPAIR,SEED,,core_clause_unenforced,,,,ok,0_of_3,hardcoded_literal,6
task_000536_f7740fe0,run600,REPAIR,FLAGGED,overspecific_check,,,,,ok,0_of_3,hardcoded_literal,10
