bench,bench_id,tw_id,win13_hits,jaccard5
tb2,extract-elf,tw_334735,0,0.00427
tb2,extract-elf,tw_335548,0,0.00391
tb2,extract-elf,tw_569867,0,0.00433
tb2,extract-elf,tw_647078,0,0.00233
tb2,extract-moves-from-video,tw_190183,0,0.00926
tb2,extract-moves-from-video,tw_332029,0,0.01734
tb2,extract-moves-from-video,tw_334731,0,0.00694
tb2,extract-moves-from-video,tw_334733,0,0.00654
tb2,extract-moves-from-video,tw_335550,0,0.00606
tb2,extract-moves-from-video,tw_345797,0,0.00694
tb2,extract-moves-from-video,tw_462067,0,0.01471
tb2,extract-moves-from-video,tw_605047,0,0.00840
tb2,extract-moves-from-video,tw_711228,0,0.01156
tb2,feal-differential-cryptanalysis,tw_487175,0,0.00535
tb2,feal-differential-cryptanalysis,tw_713384,0,0.00518
tb2,feal-differential-cryptanalysis,tw_713457,0,0.00461
tb2,filter-js-from-html,tw_563797,0,0.00452
tb2,gcode-to-text,tw_117465,0,0.00862
tb2,gcode-to-text,tw_120670,0,0.00592
tb2,gcode-to-text,tw_132235,0,0.00654
tb2,gcode-to-text,tw_161913,0,0.00820
tb2,gcode-to-text,tw_241555,0,0.00847
tb2,gcode-to-text,tw_245733,0,0.01087
tb2,gcode-to-text,tw_293066,0,0.00735
tb2,gcode-to-text,tw_379693,0,0.00826
tb2,gcode-to-text,tw_382437,0,0.00662
tb2,gcode-to-text,tw_484735,0,0.00746
tb2,gcode-to-text,tw_556670,0,0.00746
tb2,gcode-to-text,tw_761397,0,0.00450
tb2,headless-terminal,tw_123305,0,0.00513
tb2,log-summary-date-ranges,tw_122689,0,0.00339
tb2,log-summary-date-ranges,tw_21329,0,0.00310
tb2,log-summary-date-ranges,tw_425032,0,0.00325
tb2,log-summary-date-ranges,tw_92698,0,0.00252
tb2,make-doom-for-mips,tw_477483,0,0.00613
tb2,merge-diff-arc-agi-task,tw_6480,0,0.00284
tb2,model-extraction-relu-logits,tw_323887,0,0.00505
tb2,mteb-leaderboard,tw_172951,0,0.00746
tb2,mteb-retrieve,tw_25225,0,0.00645
tb2,mteb-retrieve,tw_28584,0,0.00633
tb2,mteb-retrieve,tw_28790,0,0.00588
tb2,mteb-retrieve,tw_288787,0,0.00971
tb2,mteb-retrieve,tw_433818,0,0.00435
tb2,mteb-retrieve,tw_473702,0,0.00714
tb2,mteb-retrieve,tw_534776,0,0.00518
tb2,mteb-retrieve,tw_550958,0,0.00485
tb2,mteb-retrieve,tw_621404,0,0.00870
tb2,mteb-retrieve,tw_627368,0,0.00543
tb2,mteb-retrieve,tw_706816,0,0.00422
tb2,mteb-retrieve,tw_717922,0,0.00917
tb2,openssl-selfsigned-cert,tw_235174,0,0.00300
tb2,openssl-selfsigned-cert,tw_44406,0,0.00322
tb2,openssl-selfsigned-cert,tw_526697,0,0.00347
tb2,openssl-selfsigned-cert,tw_672428,0,0.00304
tb2,password-recovery,tw_25727,0,0.00568
tb2,password-recovery,tw_644384,0,0.00508
tb2,pypi-server,tw_103133,0,0.00394
tb2,pypi-server,tw_121860,0,0.00459
tb2,pypi-server,tw_522753,0,0.00357
tb2,pypi-server,tw_590773,0,0.00337
tb2,pypi-server,tw_696316,0,0.00340
tb2,pytorch-model-cli,tw_196065,0,0.00364
tb2,pytorch-model-cli,tw_352231,0,0.00515
tb2,pytorch-model-cli,tw_538643,0,0.00556
tb2,pytorch-model-cli,tw_682350,0,0.00581
tb2,pytorch-model-cli,tw_732042,0,0.00334
tb2,pytorch-model-cli,tw_7647,0,0.00685
tb2,pytorch-model-cli,tw_85605,0,0.00532
tb2,regex-chess,tw_129867,0,0.00301
tb2,regex-chess,tw_322195,0,0.00262
tb2,regex-chess,tw_494408,0,0.00214
tb2,regex-chess,tw_713358,0,0.00245
tb2,regex-log,tw_668448,0,0.00338
tb2,reshard-c4-data,tw_171680,0,0.00326
tb2,reshard-c4-data,tw_324541,0,0.00238
tb2,sparql-university,tw_12315,0,0.00355
tb2,sparql-university,tw_124734,0,0.00417
tb2,sparql-university,tw_125882,0,0.00357
tb2,sparql-university,tw_296822,0,0.00347
tb2,train-fasttext,tw_119148,0,0.00758
tb2,train-fasttext,tw_694721,0,0.00621
tb2,tune-mjcf,tw_119148,0,0.00505
tb2,tune-mjcf,tw_694721,0,0.00441
tb2,video-processing,tw_48562,0,0.00338
tb2,vulnerable-secret,tw_100579,0,0.00699
tb2,vulnerable-secret,tw_101812,0,0.00833
tb2,vulnerable-secret,tw_1063,0,0.00500
tb2,vulnerable-secret,tw_11428,0,0.00599
tb2,vulnerable-secret,tw_11904,0,0.00741
tb2,vulnerable-secret,tw_119147,0,0.00508
tb2,vulnerable-secret,tw_120417,0,0.00694
tb2,vulnerable-secret,tw_12180,0,0.00725
tb2,vulnerable-secret,tw_126641,0,0.00730
tb2,vulnerable-secret,tw_134335,0,0.00493
tb2,vulnerable-secret,tw_134374,0,0.00376
tb2,vulnerable-secret,tw_135505,0,0.00676
tb2,vulnerable-secret,tw_139449,0,0.00538
tb2,vulnerable-secret,tw_146854,0,0.00327
tb2,vulnerable-secret,tw_14727,0,0.00629
tb2,vulnerable-secret,tw_151591,0,0.00613
tb2,vulnerable-secret,tw_164864,0,0.00667
tb2,vulnerable-secret,tw_17688,0,0.00529
tb2,vulnerable-secret,tw_187776,0,0.00526
tb2,vulnerable-secret,tw_195344,0,0.00571
tb2,vulnerable-secret,tw_195942,0,0.00565
tb2,vulnerable-secret,tw_20074,0,0.00617
tb2,vulnerable-secret,tw_237464,0,0.00543
tb2,vulnerable-secret,tw_240852,0,0.00446
tb2,vulnerable-secret,tw_244302,0,0.00637
tb2,vulnerable-secret,tw_247958,0,0.00535
tb2,vulnerable-secret,tw_248132,0,0.00606
tb2,vulnerable-secret,tw_260060,0,0.00735
tb2,vulnerable-secret,tw_262693,0,0.00448
tb2,vulnerable-secret,tw_262982,0,0.00629
tb2,vulnerable-secret,tw_272694,0,0.00415
tb2,vulnerable-secret,tw_276829,0,0.00295
tb2,vulnerable-secret,tw_283245,0,0.00403
tb2,vulnerable-secret,tw_285843,0,0.00342
tb2,vulnerable-secret,tw_286136,0,0.00293
tb2,vulnerable-secret,tw_287590,0,0.00769
tb2,vulnerable-secret,tw_291556,0,0.00410
tb2,vulnerable-secret,tw_304276,0,0.00552
tb2,vulnerable-secret,tw_311681,0,0.00862
tb2,vulnerable-secret,tw_31190,0,0.00588
tb2,vulnerable-secret,tw_334878,0,0.00426
tb2,vulnerable-secret,tw_339953,0,0.00392
tb2,vulnerable-secret,tw_352867,0,0.00806
tb2,vulnerable-secret,tw_35437,0,0.00662
tb2,vulnerable-secret,tw_356591,0,0.00385
tb2,vulnerable-secret,tw_370636,0,0.00476
tb2,vulnerable-secret,tw_381835,0,0.00485
tb2,vulnerable-secret,tw_381989,0,0.00629
tb2,vulnerable-secret,tw_383451,0,0.01316
tb2,vulnerable-secret,tw_383467,0,0.00592
tb2,vulnerable-secret,tw_390901,0,0.00377
tb2,vulnerable-secret,tw_417619,0,0.00402
tb2,vulnerable-secret,tw_423671,0,0.00518
tb2,vulnerable-secret,tw_430004,0,0.00735
tb2,vulnerable-secret,tw_450610,0,0.00641
tb2,vulnerable-secret,tw_454974,0,0.00633
tb2,vulnerable-secret,tw_46081,0,0.00529
tb2,vulnerable-secret,tw_465830,0,0.00645
tb2,vulnerable-secret,tw_483825,0,0.00694
tb2,vulnerable-secret,tw_503273,0,0.00476
tb2,vulnerable-secret,tw_529977,0,0.00402
tb2,vulnerable-secret,tw_586787,0,0.00441
tb2,vulnerable-secret,tw_588961,0,0.00588
tb2,vulnerable-secret,tw_617668,0,0.00450
tb2,vulnerable-secret,tw_619230,0,0.00405
tb2,vulnerable-secret,tw_650591,0,0.00448
tb2,vulnerable-secret,tw_650700,0,0.00452
tb2,vulnerable-secret,tw_654276,0,0.00671
tb2,vulnerable-secret,tw_655577,0,0.00338
tb2,vulnerable-secret,tw_658264,0,0.00417
tb2,vulnerable-secret,tw_661946,0,0.00483
tb2,vulnerable-secret,tw_668448,0,0.00524
tb2,vulnerable-secret,tw_682350,0,0.00667
tb2,vulnerable-secret,tw_694458,0,0.00599
tb2,vulnerable-secret,tw_694716,0,0.00617
tb2,vulnerable-secret,tw_694721,0,0.00543
tb2,vulnerable-secret,tw_696032,0,0.00283
tb2,vulnerable-secret,tw_701911,0,0.00417
tb2,vulnerable-secret,tw_725316,0,0.00490
tb2,vulnerable-secret,tw_754591,0,0.00452
tb2,vulnerable-secret,tw_764719,0,0.00364
tb2,vulnerable-secret,tw_8593,0,0.00585
tb2,vulnerable-secret,tw_96249,0,0.00483
tb_hard,tbh_task_fb2da3e652c57ac8,tw_104501,0,0.00224
tb_hard,tbh_task_fb2da3e652c57ac8,tw_12306,0,0.00447
tb_hard,tbh_task_fb2da3e652c57ac8,tw_162164,0,0.00231
tb_hard,tbh_task_fb2da3e652c57ac8,tw_306284,0,0.00482
tb_hard,tbh_task_8b3a71d1064b7be0,tw_169863,0,0.00446
tb_hard,tbh_task_8b3a71d1064b7be0,tw_239821,0,0.00212
tb_hard,tbh_task_8b3a71d1064b7be0,tw_284594,0,0.00197
tb_hard,tbh_task_8b3a71d1064b7be0,tw_361348,0,0.00169
tb_hard,tbh_task_8b3a71d1064b7be0,tw_510621,0,0.00200
tb_hard,tbh_task_30ee1bad124b54e4,tw_108727,0,0.00201
tb_hard,tbh_task_30ee1bad124b54e4,tw_12315,0,0.00215
tb_hard,tbh_task_30ee1bad124b54e4,tw_12330,0,0.00209
tb_hard,tbh_task_30ee1bad124b54e4,tw_124734,0,0.00236
tb_hard,tbh_task_30ee1bad124b54e4,tw_125882,0,0.00216
tb_hard,tbh_task_30ee1bad124b54e4,tw_127866,0,0.00232
tb_hard,tbh_task_30ee1bad124b54e4,tw_129654,0,0.00193
tb_hard,tbh_task_30ee1bad124b54e4,tw_18325,0,0.00193
tb_hard,tbh_task_30ee1bad124b54e4,tw_220269,0,0.00455
tb_hard,tbh_task_30ee1bad124b54e4,tw_276570,0,0.00195
tb_hard,tbh_task_30ee1bad124b54e4,tw_28581,0,0.00196
tb_hard,tbh_task_30ee1bad124b54e4,tw_296822,0,0.00212
tb_hard,tbh_task_30ee1bad124b54e4,tw_306630,0,0.00214
tb_hard,tbh_task_30ee1bad124b54e4,tw_315983,0,0.00217
tb_hard,tbh_task_30ee1bad124b54e4,tw_432559,0,0.00200
tb_hard,tbh_task_30ee1bad124b54e4,tw_462039,0,0.00207
tb_hard,tbh_task_30ee1bad124b54e4,tw_494408,0,0.00175
tb_hard,tbh_task_30ee1bad124b54e4,tw_508190,0,0.00242
tb_hard,tbh_task_30ee1bad124b54e4,tw_533619,0,0.00211
tb_hard,tbh_task_30ee1bad124b54e4,tw_563797,0,0.00399
tb_hard,tbh_task_30ee1bad124b54e4,tw_569867,0,0.00202
tb_hard,tbh_task_30ee1bad124b54e4,tw_584886,0,0.00200
tb_hard,tbh_task_30ee1bad124b54e4,tw_644238,0,0.00214
tb_hard,tbh_task_30ee1bad124b54e4,tw_6546,0,0.00214
tb_hard,tbh_task_30ee1bad124b54e4,tw_662735,0,0.00210
tb_hard,tbh_task_9e4d1b21072cfe6b,tw_220267,0,0.00407
tb_hard,tbh_task_9e4d1b21072cfe6b,tw_273601,0,0.00185
tb_hard,tbh_task_9e4d1b21072cfe6b,tw_450694,0,0.00434
tb_hard,tbh_task_9e4d1b21072cfe6b,tw_669368,0,0.00213
tb_hard,tbh_task_9e4d1b21072cfe6b,tw_686601,0,0.00427
tb_hard,tbh_task_9e4d1b21072cfe6b,tw_712739,0,0.00213
tb_hard,tbh_task_f0af33f7bec74d8b,tw_11045,0,0.00284
tb_hard,tbh_task_f0af33f7bec74d8b,tw_197232,0,0.00388
tb_hard,tbh_task_f0af33f7bec74d8b,tw_28584,0,0.00313
tb_hard,tbh_task_f0af33f7bec74d8b,tw_44406,0,0.00310
tb_hard,tbh_task_f0af33f7bec74d8b,tw_455007,0,0.00312
tb_hard,tbh_task_f0af33f7bec74d8b,tw_45843,0,0.00296
tb_hard,tbh_task_f0af33f7bec74d8b,tw_694716,0,0.00326
tb_hard,tbh_task_f0af33f7bec74d8b,tw_725316,0,0.00287
tb_hard,tbh_task_f0af33f7bec74d8b,tw_9913,0,0.00337
tb_hard,tbh_task_abd213d6446d851a,tw_171680,0,0.00208
tb_hard,tbh_task_abd213d6446d851a,tw_390901,0,0.00174
tb_hard,tbh_task_abd213d6446d851a,tw_44406,0,0.00205
tb_hard,tbh_task_584ea7ae6d47dfe6,tw_11045,0,0.00183
tb_hard,tbh_task_584ea7ae6d47dfe6,tw_169863,0,0.00213
tb_hard,tbh_task_584ea7ae6d47dfe6,tw_197232,0,0.00222
tb_hard,tbh_task_584ea7ae6d47dfe6,tw_284594,0,0.00190
tb_hard,tbh_task_584ea7ae6d47dfe6,tw_28584,0,0.00195
tb_hard,tbh_task_584ea7ae6d47dfe6,tw_361348,0,0.00164
tb_hard,tbh_task_584ea7ae6d47dfe6,tw_44406,0,0.00194
tb_hard,tbh_task_584ea7ae6d47dfe6,tw_455007,0,0.00195
tb_hard,tbh_task_584ea7ae6d47dfe6,tw_45843,0,0.00188
tb_hard,tbh_task_584ea7ae6d47dfe6,tw_510621,0,0.00193
tb_hard,tbh_task_584ea7ae6d47dfe6,tw_694716,0,0.00200
tb_hard,tbh_task_584ea7ae6d47dfe6,tw_725316,0,0.00185
tb_hard,tbh_task_584ea7ae6d47dfe6,tw_9913,0,0.00204
tb_hard,tbh_task_15fe9b0bc3d8709a,tw_12306,0,0.00225
tb_hard,tbh_task_15fe9b0bc3d8709a,tw_138986,0,0.00471
tb_hard,tbh_task_15fe9b0bc3d8709a,tw_162164,0,0.01415
tb_hard,tbh_task_15fe9b0bc3d8709a,tw_202027,0,0.00417
tb_hard,tbh_task_15fe9b0bc3d8709a,tw_223822,0,0.00473
tb_hard,tbh_task_15fe9b0bc3d8709a,tw_284594,0,0.00448
tb_hard,tbh_task_15fe9b0bc3d8709a,tw_306284,0,0.00242
tb_hard,tbh_task_15fe9b0bc3d8709a,tw_662735,0,0.00465
tb_hard,tbh_task_15fe9b0bc3d8709a,tw_713365,0,0.00238
tb_hard,tbh_task_15fe9b0bc3d8709a,tw_713684,0,0.00208
tb_hard,tbh_task_f0c97317690ef148,tw_220267,0,0.00201
tb_hard,tbh_task_f0c97317690ef148,tw_248066,0,0.00459
tb_hard,tbh_task_f0c97317690ef148,tw_273601,0,0.00183
tb_hard,tbh_task_f0c97317690ef148,tw_450694,0,0.00214
tb_hard,tbh_task_f0c97317690ef148,tw_615327,0,0.00204
tb_hard,tbh_task_f0c97317690ef148,tw_669368,0,0.00211
tb_hard,tbh_task_f0c97317690ef148,tw_686601,0,0.00211
tb_hard,tbh_task_f0c97317690ef148,tw_686647,0,0.00164
tb_hard,tbh_task_f0c97317690ef148,tw_712739,0,0.00211
tb_hard,tbh_task_2f60ef8e356e9b5e,tw_12673,0,0.00223
tb_hard,tbh_task_2f60ef8e356e9b5e,tw_162164,0,0.01003
tb_hard,tbh_task_2f60ef8e356e9b5e,tw_202027,0,0.00442
tb_hard,tbh_task_2f60ef8e356e9b5e,tw_284594,0,0.00477
tb_hard,tbh_task_1037cf7b06cf39a5,tw_169863,0,0.00567
tb_hard,tbh_task_1037cf7b06cf39a5,tw_277043,0,0.00507
tb_hard,tbh_task_1037cf7b06cf39a5,tw_284594,0,0.00170
tb_hard,tbh_task_1037cf7b06cf39a5,tw_285843,0,0.00289
tb_hard,tbh_task_1037cf7b06cf39a5,tw_361348,0,0.00597
tb_hard,tbh_task_1037cf7b06cf39a5,tw_501421,0,0.00556
tb_hard,tbh_task_1037cf7b06cf39a5,tw_510621,0,0.00345
tb_hard,tbh_task_1037cf7b06cf39a5,tw_585340,0,0.00328
tb_hard,tbh_task_6355e8eeedf2490f,tw_110305,0,0.00202
tb_hard,tbh_task_12821b68d56e039f,tw_104501,0,0.00196
tb_hard,tbh_task_12821b68d56e039f,tw_12306,0,0.00391
tb_hard,tbh_task_12821b68d56e039f,tw_162164,0,0.00202
tb_hard,tbh_task_12821b68d56e039f,tw_177994,0,0.00220
tb_hard,tbh_task_12821b68d56e039f,tw_190183,0,0.00175
tb_hard,tbh_task_12821b68d56e039f,tw_277215,0,0.00210
tb_hard,tbh_task_12821b68d56e039f,tw_306284,0,0.00628
tb_hard,tbh_task_12821b68d56e039f,tw_332029,0,0.00189
tb_hard,tbh_task_12821b68d56e039f,tw_354080,0,0.00511
tb_hard,tbh_task_12821b68d56e039f,tw_462067,0,0.00204
tb_hard,tbh_task_12821b68d56e039f,tw_605047,0,0.00212
tb_hard,tbh_task_12821b68d56e039f,tw_711228,0,0.00190
tb_hard,tbh_task_b389c0c4e8f7120d,tw_169863,0,0.00297
tb_hard,tbh_task_b389c0c4e8f7120d,tw_284594,0,0.00253
tb_hard,tbh_task_b389c0c4e8f7120d,tw_361348,0,0.00209
tb_hard,tbh_task_b389c0c4e8f7120d,tw_510621,0,0.00258
tb_hard,tbh_task_14477f7a80a94f0c,tw_12330,0,0.00297
tb_hard,tbh_task_14477f7a80a94f0c,tw_129654,0,0.00265
tb_hard,tbh_task_14477f7a80a94f0c,tw_18325,0,0.00265
tb_hard,tbh_task_14477f7a80a94f0c,tw_276570,0,0.00270
tb_hard,tbh_task_14477f7a80a94f0c,tw_28581,0,0.00270
tb_hard,tbh_task_14477f7a80a94f0c,tw_315983,0,0.00313
tb_hard,tbh_task_14477f7a80a94f0c,tw_432559,0,0.00279
tb_hard,tbh_task_14477f7a80a94f0c,tw_462039,0,0.00292
tb_hard,tbh_task_14477f7a80a94f0c,tw_494408,0,0.00232
tb_hard,tbh_task_14477f7a80a94f0c,tw_533619,0,0.00300
tb_hard,tbh_task_14477f7a80a94f0c,tw_644238,0,0.00306
tb_hard,tbh_task_14477f7a80a94f0c,tw_6546,0,0.00307
tb_hard,tbh_task_14477f7a80a94f0c,tw_662735,0,0.00298
tb_hard,tbh_task_276990ea65b4d18e,tw_550958,0,0.00247
tb_hard,tbh_task_e64b62762a1a4773,tw_169863,0,0.00506
tb_hard,tbh_task_e64b62762a1a4773,tw_284594,0,0.00220
tb_hard,tbh_task_e64b62762a1a4773,tw_359207,0,0.00225
tb_hard,tbh_task_e64b62762a1a4773,tw_361348,0,0.00186
tb_hard,tbh_task_e64b62762a1a4773,tw_510621,0,0.00224
tb_hard,tbh_task_c0d7207c65d3213e,tw_11045,0,0.00202
tb_hard,tbh_task_c0d7207c65d3213e,tw_11904,0,0.00237
tb_hard,tbh_task_c0d7207c65d3213e,tw_153917,0,0.00233
tb_hard,tbh_task_c0d7207c65d3213e,tw_169863,0,0.00480
tb_hard,tbh_task_c0d7207c65d3213e,tw_183827,0,0.00372
tb_hard,tbh_task_c0d7207c65d3213e,tw_197232,0,0.00250
tb_hard,tbh_task_c0d7207c65d3213e,tw_219949,0,0.00227
tb_hard,tbh_task_c0d7207c65d3213e,tw_225718,0,0.00204
tb_hard,tbh_task_c0d7207c65d3213e,tw_284594,0,0.00210
tb_hard,tbh_task_c0d7207c65d3213e,tw_28584,0,0.00217
tb_hard,tbh_task_c0d7207c65d3213e,tw_352707,0,0.00232
tb_hard,tbh_task_c0d7207c65d3213e,tw_361348,0,0.00358
tb_hard,tbh_task_c0d7207c65d3213e,tw_44406,0,0.00215
tb_hard,tbh_task_c0d7207c65d3213e,tw_455007,0,0.00216
tb_hard,tbh_task_c0d7207c65d3213e,tw_45843,0,0.00208
tb_hard,tbh_task_c0d7207c65d3213e,tw_462454,0,0.00392
tb_hard,tbh_task_c0d7207c65d3213e,tw_510621,0,0.00214
tb_hard,tbh_task_c0d7207c65d3213e,tw_587534,0,0.00221
tb_hard,tbh_task_c0d7207c65d3213e,tw_6740,0,0.00433
tb_hard,tbh_task_c0d7207c65d3213e,tw_694716,0,0.00223
tb_hard,tbh_task_c0d7207c65d3213e,tw_725316,0,0.00204
tb_hard,tbh_task_c0d7207c65d3213e,tw_8944,0,0.00230
tb_hard,tbh_task_c0d7207c65d3213e,tw_9913,0,0.00228
tb_hard,tbh_task_3280bade2c98c2d1,tw_162164,0,0.00481
tb_hard,tbh_task_3280bade2c98c2d1,tw_550184,0,0.00204
tb_hard,tbh_task_302dd2bfccb0feaf,tw_12306,0,0.00368
tb_hard,tbh_task_302dd2bfccb0feaf,tw_162164,0,0.00189
tb_hard,tbh_task_302dd2bfccb0feaf,tw_306284,0,0.00391
tb_hard,tbh_task_04836d64e7ccc952,tw_12315,0,0.00256
tb_hard,tbh_task_6a29ccb05c508d7b,tw_12306,0,0.00244
tb_hard,tbh_task_6a29ccb05c508d7b,tw_162164,0,0.01542
tb_hard,tbh_task_6a29ccb05c508d7b,tw_171680,0,0.00254
tb_hard,tbh_task_6a29ccb05c508d7b,tw_202027,0,0.00676
tb_hard,tbh_task_6a29ccb05c508d7b,tw_284594,0,0.00487
tb_hard,tbh_task_6a29ccb05c508d7b,tw_306284,0,0.00265
tb_hard,tbh_task_6a29ccb05c508d7b,tw_338986,0,0.00207
tb_hard,tbh_task_1b92e614b05da93c,tw_119147,0,0.00234
tb_hard,tbh_task_1b92e614b05da93c,tw_169863,0,0.00277
tb_hard,tbh_task_1b92e614b05da93c,tw_284594,0,0.00239
tb_hard,tbh_task_1b92e614b05da93c,tw_361348,0,0.00199
tb_hard,tbh_task_1b92e614b05da93c,tw_510621,0,0.00488
tb_hard,tbh_task_f1d868d26a954722,tw_166828,0,0.00217
tb_hard,tbh_task_f1d868d26a954722,tw_169863,0,0.00225
tb_hard,tbh_task_f1d868d26a954722,tw_219949,0,0.00214
tb_hard,tbh_task_f1d868d26a954722,tw_220267,0,0.00415
tb_hard,tbh_task_f1d868d26a954722,tw_273601,0,0.00188
tb_hard,tbh_task_f1d868d26a954722,tw_284594,0,0.00199
tb_hard,tbh_task_f1d868d26a954722,tw_450694,0,0.00442
tb_hard,tbh_task_f1d868d26a954722,tw_510621,0,0.00202
tb_hard,tbh_task_f1d868d26a954722,tw_669368,0,0.00217
tb_hard,tbh_task_f1d868d26a954722,tw_686601,0,0.00436
tb_hard,tbh_task_f1d868d26a954722,tw_712739,0,0.00217
tb_hard,tbh_task_f1d868d26a954722,tw_723909,0,0.00223
tb_hard,tbh_task_d575b3ecf9318243,tw_12306,0,0.00474
tb_hard,tbh_task_d575b3ecf9318243,tw_129867,0,0.00271
tb_hard,tbh_task_d575b3ecf9318243,tw_162164,0,0.00246
tb_hard,tbh_task_d575b3ecf9318243,tw_306284,0,0.01292
tb_hard,tbh_task_d575b3ecf9318243,tw_322195,0,0.00239
tb_hard,tbh_task_d575b3ecf9318243,tw_452881,0,0.00223
tb_hard,tbh_task_d575b3ecf9318243,tw_475909,0,0.00437
tb_hard,tbh_task_d575b3ecf9318243,tw_479208,0,0.00225
tb_hard,tbh_task_b2c4085f2b2cd6a6,tw_11045,0,0.00249
tb_hard,tbh_task_b2c4085f2b2cd6a6,tw_197232,0,0.00325
tb_hard,tbh_task_b2c4085f2b2cd6a6,tw_28584,0,0.00271
tb_hard,tbh_task_b2c4085f2b2cd6a6,tw_286226,0,0.00524
tb_hard,tbh_task_b2c4085f2b2cd6a6,tw_354080,0,0.00218
tb_hard,tbh_task_b2c4085f2b2cd6a6,tw_44406,0,0.00268
tb_hard,tbh_task_b2c4085f2b2cd6a6,tw_455007,0,0.00270
tb_hard,tbh_task_b2c4085f2b2cd6a6,tw_45843,0,0.00258
tb_hard,tbh_task_b2c4085f2b2cd6a6,tw_694716,0,0.00280
tb_hard,tbh_task_b2c4085f2b2cd6a6,tw_725316,0,0.00251
tb_hard,tbh_task_b2c4085f2b2cd6a6,tw_9913,0,0.00288
tb_hard,tbh_task_d557a114712de69f,tw_177994,0,0.00216
tb_hard,tbh_task_d557a114712de69f,tw_474074,0,0.00199
tb_hard,tbh_task_d557a114712de69f,tw_474880,0,0.00193
tb_hard,tbh_task_d557a114712de69f,tw_510751,0,0.00189
tb_hard,tbh_task_d557a114712de69f,tw_713384,0,0.00198
tb_hard,tbh_task_28fd995cb0439cd9,tw_306284,0,0.00263
tb_hard,tbh_task_a1b8dbbe01e426bc,tw_102034,0,0.00212
tb_hard,tbh_task_a1b8dbbe01e426bc,tw_104501,0,0.00202
tb_hard,tbh_task_a1b8dbbe01e426bc,tw_117465,0,0.00219
tb_hard,tbh_task_a1b8dbbe01e426bc,tw_220417,0,0.00218
tb_hard,tbh_task_a1b8dbbe01e426bc,tw_483618,0,0.00231
tb_hard,tbh_task_a1b8dbbe01e426bc,tw_483822,0,0.00224
tb_hard,tbh_task_a1b8dbbe01e426bc,tw_570878,0,0.00212
tb_hard,tbh_task_a1b8dbbe01e426bc,tw_712748,0,0.00209
tb_hard,tbh_task_e7bd73bfecdd68d2,tw_229404,0,0.00247
tb_hard,tbh_task_e7bd73bfecdd68d2,tw_229527,0,0.00231
tb_hard,tbh_task_e7bd73bfecdd68d2,tw_637107,0,0.00211
tb_hard,tbh_task_729d03972163d49b,tw_240515,0,0.00189
tb_hard,tbh_task_729d03972163d49b,tw_315534,0,0.00233
tb_hard,tbh_task_729d03972163d49b,tw_323887,0,0.00230
tb_hard,tbh_task_729d03972163d49b,tw_474074,0,0.00229
tb_hard,tbh_task_729d03972163d49b,tw_84824,0,0.00216
tb_hard,tbh_task_7fee0e182f2ca1cd,tw_29509,0,0.00227
